stage,ligand,score,valid,reason,heavy_atoms,le,self_rmsd,pains_flag
stage1,STI_C600.pdbqt,-10.08,1,,37,0.2725,2.82,0
stage1,STI_D600.pdbqt,-11.66,1,,37,0.3153,3.47,0
stage1,STI_D600.sanitized.pdbqt,-11.73,1,,37,0.3171,3.70,0
stage1,STI_C600.sanitized.sanitized.pdbqt,-10.21,1,,37,0.2759,2.86,0
stage1,STI_D600.sanitized.sanitized.pdbqt,-11.76,1,,37,0.3178,2.82,0
stage1,STI_C600.sanitized.pdbqt,-12.04,1,,37,0.3255,3.66,0
stage1,STI_A600.sanitized.pdbqt,-10.38,1,,37,0.2807,2.72,0
stage1,STI_A600.pdbqt,-9.96,1,,37,0.2692,2.89,0
stage1,STI_B600.pdbqt,-10.23,1,,37,0.2764,2.30,0
stage1,STI_B600.sanitized.sanitized.pdbqt,-10.09,1,,37,0.2728,2.70,0
stage1,STI_B600.sanitized.pdbqt,-10.15,1,,37,0.2742,2.40,0
stage1,STI_A600.sanitized.sanitized.pdbqt,-12.03,1,,37,0.3251,3.64,0
stage1,rdk_0003181.pdbqt,-5.77,1,,11,0.5243,,0
stage1,rdk_0002507.pdbqt,-5.89,1,,12,0.4907,,0
stage1,rdk_0002690.pdbqt,-3.76,1,,5,0.7512,,0
stage1,rdk_0002496.pdbqt,-5.82,1,,9,0.6469,,0
stage1,rdk_0001575.pdbqt,-7.55,1,,20,0.3773,,0
stage1,rdk_0004777.pdbqt,-6.98,1,,13,0.5372,,0
stage1,rdk_0004739.pdbqt,-5.79,1,,10,0.5794,,0
stage1,rdk_0004718.pdbqt,-5.97,1,,11,0.5432,,0
stage1,rdk_0004689.pdbqt,-7.84,1,,14,0.5599,,0
stage1,rdk_0002393.pdbqt,-10.01,1,,20,0.5005,,0
stage1,rdk_0004053.pdbqt,-4.39,1,,11,0.3993,,0
stage1,rdk_0002602.pdbqt,-8.00,1,,22,0.3636,,0
stage1,rdk_0002549.pdbqt,-6.08,1,,15,0.4057,,0
stage1,rdk_0000645.pdbqt,-4.39,1,,10,0.4389,,0
stage1,rdk_0003237.pdbqt,-7.34,1,,22,0.3337,,0
stage1,rdk_0000161.pdbqt,-6.69,1,,16,0.4184,,0
stage1,rdk_0000561.pdbqt,-10.11,1,,22,0.4593,,0
stage1,rdk_0001857.pdbqt,-6.96,1,,22,0.3163,,0
stage1,rdk_0004171.pdbqt,-7.33,1,,14,0.5239,,0
stage1,rdk_0001476.pdbqt,-6.75,1,,16,0.4221,2.00,0
stage1,rdk_0003658.pdbqt,-8.92,1,,17,0.5248,,0
stage1,rdk_0002623.pdbqt,-6.88,1,,16,0.4297,,0
stage1,rdk_0003082.pdbqt,-7.42,1,,17,0.4363,,0
stage1,rdk_0002720.pdbqt,-7.08,1,,17,0.4168,,0
stage1,rdk_0001419.pdbqt,-6.44,1,,19,0.3390,,0
stage1,rdk_0002004.pdbqt,-7.80,1,,18,0.4336,,0
stage1,rdk_0003981.pdbqt,-7.05,1,,16,0.4409,,0
stage1,rdk_0000961.pdbqt,-5.99,1,,16,0.3741,2.25,0
stage1,rdk_0004756.pdbqt,-8.87,1,,23,0.3856,,0
stage1,rdk_0000346.pdbqt,-6.48,1,,17,0.3811,,0
stage1,rdk_0000729.pdbqt,-8.27,1,,24,0.3447,,0
stage1,rdk_0004674.pdbqt,-5.52,1,,14,0.3941,,0
stage1,rdk_0001154.pdbqt,-7.74,1,,17,0.4554,,0
stage1,rdk_0003258.pdbqt,-7.28,1,,18,0.4047,,0
stage1,rdk_0001588.pdbqt,-6.68,1,,19,0.3515,,0
stage1,rdk_0001651.pdbqt,-7.93,1,,18,0.4406,,0
stage1,rdk_0000699.pdbqt,-5.70,1,,19,0.3002,,0
stage1,rdk_0004255.pdbqt,-7.25,1,,15,0.4830,,0
stage1,rdk_0003637.pdbqt,-8.49,1,,26,0.3265,,0
stage1,rdk_0002168.pdbqt,-6.90,1,,23,0.3000,,0
stage1,rdk_0001270.pdbqt,-5.53,1,,12,0.4610,,0
stage1,rdk_0002949.pdbqt,-7.69,1,,25,0.3077,,0
stage1,rdk_0001019.pdbqt,-6.32,1,,23,0.2749,,0
stage1,rdk_0004472.pdbqt,-7.12,1,,26,0.2738,,0
stage1,rdk_0000746.pdbqt,-7.05,1,,27,0.2613,,0
stage1,rdk_0004289.pdbqt,-6.71,1,,21,0.3195,,0
