assay group ID,preferred assay ID,assay name,EntrezGeneID,EntrezGeneSymbol,HumanEntrezGeneSymbol(representative),Protein/Target/Name,Protein/Target/ProteinClass
31149,31149,ABCB11 inhibition,8647,ABCB11,ABCB11,Bile salt export pump,Enzyme
"31589, 41631",41631,ACHE inhibition,43,ACHE,ACHE,Acetylcholinesterase,Enzyme
3127,3127,ADORA1 Binding,134,ADORA1,ADORA1,Adenosine receptor A1,GPCR
41607,41607,ADORA1 Binding (agonist),134,ADORA1,ADORA1,Adenosine receptor A1,GPCR
3177,3177,ADORA2A Binding,135,ADORA2A,ADORA2A,Adenosine receptor A2a,GPCR
3128,3128,ADORA3 Binding,140,ADORA3,ADORA3,Adenosine receptor A3,GPCR
41516,41516,ADORA3 Binding (agonist),140,ADORA3,ADORA3,Adenosine receptor A3,GPCR
5468,5468,ADRA1A agonist (NIBR assay),148,ADRA1A,ADRA1A,Alpha-1A adrenergic receptor,GPCR
41699,41699,ADRA1A agonist (CRO assay),148,ADRA1A,ADRA1A,Alpha-1A adrenergic receptor,GPCR
"5427, 5494, 41701",41701,ADRA1A antagonist,148,ADRA1A,ADRA1A,Alpha-1A adrenergic receptor,GPCR
"3134, 18942",3134,ADRA1A Binding (NIBR assay),148,ADRA1A,ADRA1A,Alpha-1A adrenergic receptor,GPCR
60953,60953,ADRA1A Binding (CRO assay),148,ADRA1A,ADRA1A,Alpha-1A adrenergic receptor,GPCR
5435,5435,ADRA2A agonist,150,ADRA2A,ADRA2A,Alpha-2A adrenergic receptor,GPCR
5434,5434,ADRA2A antagonist,150,ADRA2A,ADRA2A,Alpha-2A adrenergic receptor,GPCR
"3184, 14955, 15257, 41517, 42788",41517,ADRA2A Binding,150,ADRA2A,ADRA2A,Alpha-2A adrenergic receptor,GPCR
3159,3159,ADRA2B Binding,151,ADRA2B,ADRA2B,Alpha-2B adrenergic receptor,GPCR
"3163, 16324, 17275",3163,ADRA2C inhibition,152,ADRA2C,ADRA2C,Alpha-2C adrenergic receptor,GPCR
5496,5496,ADRB1 agonist,153,ADRB1,ADRB1,Beta-1 adrenergic receptor,GPCR
3086,3086,ADRB1 inhibition,153,ADRB1,ADRB1,Beta-1 adrenergic receptor,GPCR
5528,5528,ADRB2 agonist,154,ADRB2,ADRB2,Beta-2 adrenergic receptor,GPCR
3087,3087,ADRB2 Binding,154,ADRB2,ADRB2,Beta-2 adrenergic receptor,GPCR
3178,3178,ADRB3 Binding,155,ADRB3,ADRB3,Beta-3 adrenergic receptor,GPCR
"3221, 15247, 16463",3221,AGTR1 Binding,185,AGTR1,AGTR1,Type-1 angiotensin II receptor,GPCR
"16592, 16735, 17775, 17970",17775,AGTR2 inhibition,186,AGTR2,AGTR2,Type-2 angiotensin II receptor,GPCR
5472,5472,Ar (rat) agonist,24208,Ar,AR,Androgen receptor,Nuclear Hormone Receptor
5471,5471,Ar (rat) antagonist,24208,Ar,AR,Androgen receptor,Nuclear Hormone Receptor
3263,3263,Ar (rat) Binding,24208,Ar,AR,Androgen receptor,Nuclear Hormone Receptor
41629,41629,AR Binding (agonist),367,AR,AR,Androgen receptor,Nuclear Hormone Receptor
3191,3191,AVPR1A Binding,552,AVPR1A,AVPR1A,Vasopressin V1a receptor,GPCR
3192,3192,AVPR2 Binding,554,AVPR2,AVPR2,Vasopressin V2 receptor,GPCR
3256,3256,BDKRB1 Binding,623,BDKRB1,BDKRB1,B1 bradykinin receptor,GPCR
3204,3204,BDKRB2 Binding,624,BDKRB2,BDKRB2,B2 bradykinin receptor,GPCR
3156,3156,Cacna1b (rat) inhibition,257648,Cacna1b,CACNA1B,Voltage-dependent N-type calcium channel subunit alpha-1B,Ion Channel
3084,3084,Cacna1c (rat) inhibition,24239,Cacna1c,CACNA1C,Voltage-dependent L-type calcium channel subunit alpha-1C,Ion Channel
3188,3188,CACNA1C inhibition,775,CACNA1C,CACNA1C,Voltage-dependent L-type calcium channel subunit alpha-1C,Ion Channel
3222,3222,CCKAR Binding,886,CCKAR,CCKAR,Cholecystokinin receptor type A,GPCR
3205,3205,CCKBR Binding,887,CCKBR,CCKBR,Gastrin/cholecystokinin type B receptor,GPCR
41702,41702,CHRM1 agonist (CRO assay),1128,CHRM1,CHRM1,Muscarinic acetylcholine receptor M1,GPCR
42860,42860,CHRM1 agonist (NIBR assay),1128,CHRM1,CHRM1,Muscarinic acetylcholine receptor M1,GPCR
"41704, 42863",41704,CHRM1 antagonist,1128,CHRM1,CHRM1,Muscarinic acetylcholine receptor M1,GPCR
60955,60955,CHRM1 Binding,1128,CHRM1,CHRM1,Muscarinic acetylcholine receptor M1,GPCR
3130,3130,CHRM1 inhibition,1128,CHRM1,CHRM1,Muscarinic acetylcholine receptor M1,GPCR
5364,5364,CHRM2 agonist,1129,CHRM2,CHRM2,Muscarinic acetylcholine receptor M2,GPCR
5363,5363,CHRM2 antagonist,1129,CHRM2,CHRM2,Muscarinic acetylcholine receptor M2,GPCR
"3483, 41521, 42787",41521,CHRM2 Binding,1129,CHRM2,CHRM2,Muscarinic acetylcholine receptor M2,GPCR
3131,3131,CHRM3 Binding,1131,CHRM3,CHRM3,Muscarinic acetylcholine receptor M3,GPCR
3160,3160,CHRM4 Binding,1132,CHRM4,CHRM4,Muscarinic acetylcholine receptor M4,GPCR
3132,3132,CHRM5 Binding,1133,CHRM5,CHRM5,Muscarinic acetylcholine receptor M5,GPCR
3090,3090,CHRNA4 Binding,1137,CHRNA4,CHRNA4,Neuronal acetylcholine receptor subunit alpha-4,Ion Channel
5470,5470,CNR1 agonist,1268,CNR1,CNR1,Cannabinoid receptor 1,GPCR
5469,5469,CNR1 antagonist,1268,CNR1,CNR1,Cannabinoid receptor 1,GPCR
3235,3235,CNR1 Binding,1268,CNR1,CNR1,Cannabinoid receptor 1,GPCR
15916,15916,CNR1 inhibition,1268,CNR1,CNR1,Cannabinoid receptor 1,GPCR
3257,3257,CRHR1 Binding,1394,CRHR1,CRHR1,Corticotropin-releasing factor receptor 1,GPCR
3258,3258,CRHR2 Binding,1395,CRHR2,CRHR2,Corticotropin-releasing factor receptor 2,GPCR
32307,32307,DRD1 agonist,1812,DRD1,DRD1,D(1A) dopamine receptor,GPCR
32309,32309,DRD1 antagonist,1812,DRD1,DRD1,D(1A) dopamine receptor,GPCR
"13034, 41518, 42789",41518,DRD1 Binding (NIBR assay),1812,DRD1,DRD1,D(1A) dopamine receptor,GPCR
60954,60954,DRD1 Binding (CRO assay),1812,DRD1,DRD1,D(1A) dopamine receptor,GPCR
3157,3157,DRD2 Binding,1813,DRD2,DRD2,D(2) dopamine receptor,GPCR
"3295, 41519",41519,DRD3 Binding,1814,DRD3,DRD3,D(3) dopamine receptor,GPCR
3119,3119,DRD4 Binding,1815,DRD4,DRD4,D(4) dopamine receptor,GPCR
3120,3120,DRD5 Binding,1816,DRD5,DRD5,D(1B) dopamine receptor,GPCR
3223,3223,EDNRA Binding,1909,EDNRA,EDNRA,Endothelin-1 receptor,GPCR
3224,3224,EDNRB Binding,1910,EDNRB,EDNRB,Endothelin B receptor,GPCR
32018,32018,EGFR inhibition,1956,EGFR,EGFR,Epidermal growth factor receptor,Kinase
32017,32017,ERBB2 inhibition,2064,ERBB2,ERBB2,Receptor tyrosine-protein kinase erbB-2,Kinase
13333,13333,ESR1 agonist,2099,ESR1,ESR1,Estrogen receptor,Nuclear Hormone Receptor
13332,13332,ESR1 antagonist,2099,ESR1,ESR1,Estrogen receptor,Nuclear Hormone Receptor
3199,3199,ESR1 Binding (NIBR assay),2099,ESR1,ESR1,Estrogen receptor,Nuclear Hormone Receptor
31453,31453,ESR1 Binding (CRO assay),2099,ESR1,ESR1,Estrogen receptor,Nuclear Hormone Receptor
3217,3217,ESR2 Binding,2100,ESR2,ESR2,Estrogen receptor beta,Nuclear Hormone Receptor
3662,3662,F2 inhibition,2147,F2,F2,Prothrombin,Protease
3133,3133,GABBR1 (GABA B) Binding,2550,GABBR1,GABBR1,"Gamma-aminobutyric acid type B receptor subunit 1, Gamma-aminobutyric acid type B receptor subunit 2",GPCR
5551,5551,GABRA1 agonist,"2554, 2555, 2561, 2566",GABRA1,GABRA1,"Gamma-aminobutyric acid receptor subunit alpha-2, Gamma-aminobutyric acid receptor subunit beta-2, Gamma-aminobutyric acid receptor subunit gamma-2",Ion Channel
5552,5552,GABRA1 (GABA A) antagonist,"2554, 2555, 2561, 2566",GABRA1,GABRA1,"Gamma-aminobutyric acid receptor subunit alpha-2, Gamma-aminobutyric acid receptor subunit beta-2, Gamma-aminobutyric acid receptor subunit gamma-2",Ion Channel
3121,3121,"Gabra1 (GABA A, rat) Binding",29705,Gabra1,GABRA1,Gamma-aminobutyric acid receptor subunit alpha-1,Ion Channel
41628,41628,GABRA1 (GABA A) Binding (agonist),"2554, 2555, 2561, 2566",GABRA1,GABRA1,Gamma-aminobutyric acid receptor subunit alpha-1,Ion Channel
41675,41675,Gabra1 (rat) Binding (agonist),29705,Gabra1,GABRA1,Gamma-aminobutyric acid receptor subunit alpha-1,Ion Channel
3125,3125,Gabra1 (rat) inhibition,29705,Gabra1,GABRA1,Gamma-aminobutyric acid receptor subunit alpha-1,Ion Channel
