drug_id,target_id
DUMMY_0,ABCB11
DUMMY_1,ACHE
DUMMY_2,ADORA1
DUMMY_3,ADORA2A
DUMMY_4,ADORA3
DUMMY_5,ADRA1A
DUMMY_6,ADRA2A
DUMMY_7,ADRA2B
DUMMY_8,ADRA2C
DUMMY_9,ADRB1
DUMMY_10,ADRB2
DUMMY_11,ADRB3
DUMMY_12,AGTR1
DUMMY_13,AGTR2
DUMMY_14,AR
DUMMY_15,AVPR1A
DUMMY_16,AVPR2
DUMMY_17,BDKRB1
DUMMY_18,BDKRB2
DUMMY_19,CACNA1B
DUMMY_20,CACNA1C
DUMMY_21,CCKAR
DUMMY_22,CCKBR
DUMMY_23,CHRM1
DUMMY_24,CHRM2
DUMMY_25,CHRM3
DUMMY_26,CHRM4
DUMMY_27,CHRM5
DUMMY_28,CHRNA4
DUMMY_29,CNR1
DUMMY_30,CRHR1
DUMMY_31,CRHR2
DUMMY_32,DRD1
DUMMY_33,DRD2
DUMMY_34,DRD3
DUMMY_35,DRD4
DUMMY_36,DRD5
DUMMY_37,EDNRA
DUMMY_38,EDNRB
DUMMY_39,EGFR
DUMMY_40,ERBB2
DUMMY_41,ESR1
DUMMY_42,ESR2
DUMMY_43,F2
DUMMY_44,GABBR1
DUMMY_45,GABRA1
DUMMY_46,GCGR
DUMMY_47,GHSR
DUMMY_48,GIPR
DUMMY_49,GRIN1
DUMMY_50,HCAR2
DUMMY_51,HRH1
DUMMY_52,HRH2
DUMMY_53,HRH3
DUMMY_54,HTR1A
DUMMY_55,HTR2A
DUMMY_56,HTR2B
DUMMY_57,HTR2C
DUMMY_58,HTR3A
DUMMY_59,HTR5A
DUMMY_60,HTR6
DUMMY_61,HTR7
DUMMY_62,KCNH2
DUMMY_63,KDR
DUMMY_64,MAOA
DUMMY_65,MC3R
DUMMY_66,MC4R
DUMMY_67,MLNR
DUMMY_68,NPY1R
DUMMY_69,NPY2R
DUMMY_70,NR1H2
DUMMY_71,NR1H3
DUMMY_72,NR1H4
DUMMY_73,NR1I2
DUMMY_74,NR1I3
DUMMY_75,NR3C1
DUMMY_76,NTSR1
DUMMY_77,OPRD1
DUMMY_78,OPRK1
DUMMY_79,OPRM1
DUMMY_80,PDE3A
DUMMY_81,PDE4A
DUMMY_82,PDE4D
DUMMY_83,PDE6A
DUMMY_84,PGR
DUMMY_85,PPARA
DUMMY_86,PPARG
DUMMY_87,PTGS1
DUMMY_88,PTGS2
DUMMY_89,RARA
DUMMY_90,RARB
DUMMY_91,RARG
DUMMY_92,SCN5A
DUMMY_93,SLC18A2
DUMMY_94,SLC29A1
DUMMY_95,SLC6A2
DUMMY_96,SLC6A3
DUMMY_97,SLC6A4
DUMMY_98,TACR1
DUMMY_99,TACR2
DUMMY_100,TBXA2R
