category,gene,pdb_id,rank_score,resolution,method,forced_included,valid_entry,nontrivial_comp_ids
DEFAULT,SCN5A,4DJC,76.200,1.350,X-RAY DIFFRACTION,true,true,IPA
DEFAULT,ESR1,3CBP,75.640,1.420,X-RAY DIFFRACTION,false,true,SFG
DEFAULT,CHRM1,6ZFZ,75.640,2.170,X-RAY DIFFRACTION,true,true,QJT;OLA;OLC;EPE
DEFAULT,RARG,5M24,75.480,1.690,X-RAY DIFFRACTION,true,true,9CR;LMU
DEFAULT,PTGS2,5F19,74.680,2.040,X-RAY DIFFRACTION,true,true,COH;AKR;BOG
DEFAULT,GRIN1,5H8F,74.520,1.810,X-RAY DIFFRACTION,true,true,GLU;GLY
DEFAULT,ESR1,7NDO,74.200,1.600,X-RAY DIFFRACTION,true,true,RAL
DEFAULT,ADRB2,6PS2,73.800,2.400,X-RAY DIFFRACTION,true,true,JTZ;CLR;OLB;OLC;OLA
DEFAULT,KDR,1YWN,73.320,1.710,X-RAY DIFFRACTION,true,true,LIF
DEFAULT,DRD4,5WIU,73.304,1.962,X-RAY DIFFRACTION,true,true,AQD;OLA
DEFAULT,PPARA,2P54,72.680,1.790,X-RAY DIFFRACTION,true,true,735
DEFAULT,CHRM5,6OL9,72.672,2.541,X-RAY DIFFRACTION,true,true,OLA;0HK;P33;OLC
DEFAULT,NR1H4,1OSH,72.600,1.800,X-RAY DIFFRACTION,true,true,FEX
DEFAULT,AR,1XOW,72.600,1.800,X-RAY DIFFRACTION,true,true,R18
DEFAULT,AR,2Q7K,72.600,1.800,X-RAY DIFFRACTION,false,true,TES
DEFAULT,ESR1,3CBO,72.300,1.650,X-RAY DIFFRACTION,false,true,SAH
DEFAULT,AR,2Q7I,72.040,1.870,X-RAY DIFFRACTION,false,true,TES
DEFAULT,ESR1,1SJ0,71.800,1.900,X-RAY DIFFRACTION,false,true,E4D
DEFAULT,GIPR,2QKH,71.800,1.900,X-RAY DIFFRACTION,true,true,TAR
DEFAULT,PGR,3G8O,71.800,1.900,X-RAY DIFFRACTION,true,true,30X
DEFAULT,RARG,6FX0,71.800,1.900,X-RAY DIFFRACTION,false,true,E9T
DEFAULT,HTR2B,4IB4,71.400,2.700,X-RAY DIFFRACTION,true,true,ERM;PLM;CLR;OLC;OLB;OLA
DEFAULT,PGR,1A28,71.100,1.800,X-RAY DIFFRACTION,false,true,STR
DEFAULT,F2,1T4U,71.000,2.000,X-RAY DIFFRACTION,true,true,81A
DEFAULT,F2,1T4V,71.000,2.000,X-RAY DIFFRACTION,false,true,14A
DEFAULT,NR1H3,3IPQ,71.000,2.000,X-RAY DIFFRACTION,true,true,965
DEFAULT,TBXA2R,6IIU,71.000,2.500,X-RAY DIFFRACTION,true,true,A8X;CLR;OLC
DEFAULT,PGR,3K22,70.700,2.100,X-RAY DIFFRACTION,false,true,JZS;JZR
DEFAULT,CNR1,5TGZ,70.600,2.800,X-RAY DIFFRACTION,true,true,ZDG;FMN;OLC;OLA
DEFAULT,RARB,4DM6,70.300,1.900,X-RAY DIFFRACTION,true,true,TTB
DEFAULT,KDR,1Y6A,70.200,2.100,X-RAY DIFFRACTION,false,true,AAZ
DEFAULT,PDE3A,7KWE,69.500,2.000,X-RAY DIFFRACTION,true,true,X5M
DEFAULT,HCAR2,7ZL9,69.400,2.700,X-RAY DIFFRACTION,true,true,OLA;OLC;UNX
DEFAULT,EGFR,1MOX,69.000,2.500,X-RAY DIFFRACTION,true,true,PT;CD
DEFAULT,EDNRB,5GLI,69.000,2.500,X-RAY DIFFRACTION,true,true,OLC;OLA
DEFAULT,CHRM2,5YC8,69.000,2.500,X-RAY DIFFRACTION,true,true,3C0;HG
DEFAULT,PDE4A,2QYK,68.700,2.100,X-RAY DIFFRACTION,true,true,NPV
DEFAULT,PDE4D,1Q9M,68.600,2.300,X-RAY DIFFRACTION,true,true,ROL
DEFAULT,AR,1T5Z,68.600,2.300,X-RAY DIFFRACTION,false,true,DHT
DEFAULT,HRH3,7F61,68.200,2.600,X-RAY DIFFRACTION,true,true,1IB;CLR
DEFAULT,ADRB1,7BTS,67.960,3.130,X-RAY DIFFRACTION,true,true,ALE;EPE;CLR;1WV
DEFAULT,HTR2B,5TVN,67.800,2.900,X-RAY DIFFRACTION,true,true,7LD;CLR;OLC
DEFAULT,ERBB2,3PP0,67.500,2.250,X-RAY DIFFRACTION,true,true,03Q
DEFAULT,HTR2A,6A93,67.500,3.000,X-RAY DIFFRACTION,true,true,8NU;CLR;1PE;PLM
DEFAULT,CHRM1,5CXV,67.400,2.700,X-RAY DIFFRACTION,false,true,0HK;Y01
DEFAULT,HCAR2,7ZLY,67.400,2.700,X-RAY DIFFRACTION,false,true,OLA;OLC
DEFAULT,PPARG,1KNU,67.000,2.500,X-RAY DIFFRACTION,true,true,YPA
DEFAULT,NR3C1,3BQD,67.000,2.500,X-RAY DIFFRACTION,true,true,DAY
DEFAULT,NPY2R,7DDZ,66.600,2.800,X-RAY DIFFRACTION,true,true,H46;FMN
DEFAULT,HTR5A,7UM4,66.600,2.800,X-RAY DIFFRACTION,true,true,1PE;NN6
DEFAULT,ESR2,1U3Q,66.300,2.400,X-RAY DIFFRACTION,true,true,272
