gene,pdb_id,plan_status,run_status,reason
ACHE,1B41,apo_downloaded,downloaded,ok
ADORA1,5UEN,holo_downloaded,downloaded,ok
ADORA3,8YH0,holo_downloaded,failed,download_404
ADRA1A,8THK,holo_downloaded,downloaded,ok
ADRA2A,9CBL,holo_downloaded,downloaded,ok
ADRA2B,6K41,holo_downloaded,downloaded,ok
ADRB1,7BTS,holo_downloaded,downloaded,ok
ADRB2,6PS2,holo_downloaded,failed,download_404
ADRB3,9IJD,holo_downloaded,downloaded,ok
AGTR1,6DO1,holo_downloaded,downloaded,ok
AGTR2,5UNF,holo_downloaded,downloaded,ok
AR,1XOW,holo_downloaded,downloaded,ok
AVPR1A,9XB1,holo_downloaded,failed,download_404
AVPR2,4JQI,holo_downloaded,downloaded,ok
BDKRB1,7EIB,apo_downloaded,downloaded,ok
BDKRB2,7F2O,apo_downloaded,downloaded,ok
CACNA1B,7MIX,holo_downloaded,downloaded,ok
CACNA1C,2F3Y,apo_downloaded,downloaded,ok
CCKAR,7F8U,holo_downloaded,downloaded,ok
CCKBR,1L4T,apo_downloaded,downloaded,ok
CHRM1,6ZFZ,holo_downloaded,downloaded,ok
CHRM2,5YC8,holo_downloaded,downloaded,ok
CHRM3,8E9W,holo_downloaded,downloaded,ok
CHRM4,9N09,holo_downloaded,downloaded,ok
CHRM5,6OL9,holo_downloaded,downloaded,ok
CHRNA4,2LLY,apo_downloaded,downloaded,ok
CNR1,5TGZ,holo_downloaded,downloaded,ok
CRHR1,2L27,apo_downloaded,downloaded,ok
CRHR2,6PB1,holo_downloaded,downloaded,ok
DRD1,7JOZ,holo_downloaded,failed,download_404
DRD2,6CM4,holo_downloaded,downloaded,ok
DRD3,7CMU,holo_downloaded,downloaded,ok
DRD4,5WIU,holo_downloaded,downloaded,ok
DRD5,8IRV,holo_downloaded,downloaded,ok
EDNRA,8HCQ,apo_downloaded,downloaded,ok
EDNRB,5GLI,holo_downloaded,downloaded,ok
EGFR,1MOX,holo_downloaded,downloaded,ok
ERBB2,3PP0,holo_downloaded,downloaded,ok
ESR1,7NDO,holo_downloaded,downloaded,ok
ESR2,1U3Q,holo_downloaded,downloaded,ok
F2,1T4U,holo_downloaded,downloaded,ok
GABBR1,4MQE,apo_downloaded,downloaded,ok
GABRA1,6HUJ,holo_downloaded,downloaded,ok
GCGR,4ERS,apo_downloaded,downloaded,ok
GHSR,7F83,holo_downloaded,downloaded,ok
GIPR,2QKH,holo_downloaded,downloaded,ok
GRIN1,5H8F,holo_downloaded,downloaded,ok
HCAR2,7ZL9,holo_downloaded,downloaded,ok
HRH1,9LRB,holo_downloaded,downloaded,ok
HRH2,8YN3,holo_downloaded,downloaded,ok
HRH3,7F61,holo_downloaded,downloaded,ok
HTR1A,7E2X,holo_downloaded,downloaded,ok
HTR2A,6A93,holo_downloaded,downloaded,ok
HTR2B,4IB4,holo_downloaded,downloaded,ok
HTR2C,6BQG,holo_downloaded,downloaded,ok
HTR3A,8AXD,apo_downloaded,downloaded,ok
HTR5A,7UM4,holo_downloaded,downloaded,ok
HTR6,7YS6,holo_downloaded,downloaded,ok
HTR7,7XTC,holo_downloaded,downloaded,ok
KCNH2,1UJL,apo_downloaded,downloaded,ok
KDR,1YWN,holo_downloaded,downloaded,ok
MC3R,8KIG,apo_downloaded,downloaded,ok
MC4R,6W25,holo_downloaded,downloaded,ok
NPY1R,5ZBQ,holo_downloaded,downloaded,ok
NPY2R,7DDZ,holo_downloaded,downloaded,ok
NR1H2,3KFC,holo_downloaded,downloaded,ok
NR1H3,3IPQ,holo_downloaded,downloaded,ok
NR1H4,1OSH,holo_downloaded,downloaded,ok
NR1I2,1SKX,holo_downloaded,downloaded,ok
NR1I3,1XVP,holo_downloaded,downloaded,ok
NR3C1,3BQD,holo_downloaded,downloaded,ok
NTSR1,7UL2,holo_downloaded,downloaded,ok
OPRD1,8F7S,holo_downloaded,downloaded,ok
OPRK1,6B73,holo_downloaded,downloaded,ok
OPRM1,9WST,apo_downloaded,downloaded,ok
PDE3A,7KWE,holo_downloaded,downloaded,ok
PDE4A,2QYK,holo_downloaded,downloaded,ok
PDE4D,1Q9M,holo_downloaded,downloaded,ok
PGR,3G8O,holo_downloaded,downloaded,ok
PPARA,2P54,holo_downloaded,downloaded,ok
PPARG,1KNU,holo_downloaded,downloaded,ok
PTGS2,5F19,holo_downloaded,downloaded,ok
RARA,3A9E,holo_downloaded,downloaded,ok
RARB,4DM6,holo_downloaded,downloaded,ok
RARG,5M24,holo_downloaded,downloaded,ok
SCN5A,4DJC,apo_downloaded,downloaded,ok
SLC18A2,8JSW,holo_downloaded,downloaded,ok
SLC6A2,8HFE,apo_downloaded,downloaded,ok
SLC6A3,9EO4,holo_downloaded,failed,download_404
SLC6A4,5I6X,holo_downloaded,downloaded,ok
TACR1,6J20,holo_downloaded,downloaded,ok
TACR2,7XWO,apo_downloaded,downloaded,ok
TBXA2R,6IIU,holo_downloaded,downloaded,ok
ABCB11,,not_selected,not_run,no_ligand_bound_publication_quality_pdb
ADORA2A,,not_selected,not_run,no_ligand_bound_publication_quality_pdb
ADRA2C,,not_selected,not_run,no_ligand_bound_publication_quality_pdb
MAOA,,not_selected,not_run,no_ligand_bound_publication_quality_pdb
MLNR,,not_selected,not_run,no_ligand_bound_publication_quality_pdb
PDE6A,,not_selected,not_run,no_ligand_bound_publication_quality_pdb
PTGS1,,not_selected,not_run,no_ligand_bound_publication_quality_pdb
SLC29A1,,not_selected,not_run,no_ligand_bound_publication_quality_pdb
