gene,pdb_id
ACHE,1B41
ADORA1,5UEN
ADORA3,8YH0
ADRA1A,8THK
ADRA2A,9CBL
ADRA2B,6K41
ADRB1,7BTS
ADRB2,6PS2
ADRB3,9IJD
AGTR1,6DO1
AGTR2,5UNF
AR,1XOW
AVPR1A,9XB1
AVPR2,4JQI
BDKRB1,7EIB
BDKRB2,7F2O
CACNA1B,7MIX
CACNA1C,2F3Y
CCKAR,7F8U
CCKBR,1L4T
CHRM1,6ZFZ
CHRM2,5YC8
CHRM3,8E9W
CHRM4,9N09
CHRM5,6OL9
CHRNA4,2LLY
CNR1,5TGZ
CRHR1,2L27
CRHR2,6PB1
DRD1,7JOZ
DRD2,6CM4
DRD3,7CMU
DRD4,5WIU
DRD5,8IRV
EDNRA,8HCQ
EDNRB,5GLI
EGFR,1MOX
ERBB2,3PP0
ESR1,7NDO
ESR2,1U3Q
F2,1T4U
GABBR1,4MQE
GABRA1,6HUJ
GCGR,4ERS
GHSR,7F83
GIPR,2QKH
GRIN1,5H8F
HCAR2,7ZL9
HRH1,9LRB
HRH2,8YN3
HRH3,7F61
HTR1A,7E2X
HTR2A,6A93
HTR2B,4IB4
HTR2C,6BQG
HTR3A,8AXD
HTR5A,7UM4
HTR6,7YS6
HTR7,7XTC
KCNH2,1UJL
KDR,1YWN
MC3R,8KIG
MC4R,6W25
NPY1R,5ZBQ
NPY2R,7DDZ
NR1H2,3KFC
NR1H3,3IPQ
NR1H4,1OSH
NR1I2,1SKX
NR1I3,1XVP
NR3C1,3BQD
NTSR1,7UL2
OPRD1,8F7S
OPRK1,6B73
OPRM1,9WST
PDE3A,7KWE
PDE4A,2QYK
PDE4D,1Q9M
PGR,3G8O
PPARA,2P54
PPARG,1KNU
PTGS2,5F19
RARA,3A9E
RARB,4DM6
RARG,5M24
SCN5A,4DJC
SLC18A2,8JSW
SLC6A2,8HFE
SLC6A3,9EO4
SLC6A4,5I6X
TACR1,6J20
TACR2,7XWO
TBXA2R,6IIU
