gene,pdb_id,mode,method,install_status,nontrivial_comp_ids,installed_file_exists
ACHE,1B41,apo_fallback,X-RAY DIFFRACTION,apo_downloaded,,no
ADORA1,5UEN,holo_strict,X-RAY DIFFRACTION,holo_downloaded,DU1;OLA,yes
ADORA3,8YH0,holo_strict,ELECTRON MICROSCOPY,holo_downloaded,A1BII,yes
ADRA1A,8THK,holo_strict,ELECTRON MICROSCOPY,holo_downloaded,CGZ,yes
ADRA2A,9CBL,holo_strict,ELECTRON MICROSCOPY,holo_downloaded,ALE,yes
ADRA2B,6K41,holo_strict,ELECTRON MICROSCOPY,holo_downloaded,CZX,yes
ADRB1,7BTS,holo_strict,X-RAY DIFFRACTION,holo_downloaded,ALE;EPE;CLR;1WV,yes
ADRB2,6PS2,holo_strict,X-RAY DIFFRACTION,holo_downloaded,A1IZU,yes
ADRB3,9IJD,holo_strict,ELECTRON MICROSCOPY,holo_downloaded,CAU,yes
AGTR1,6DO1,holo_strict,X-RAY DIFFRACTION,holo_downloaded,OLC,yes
AGTR2,5UNF,holo_strict,X-RAY DIFFRACTION,holo_downloaded,8ES,yes
AR,1XOW,holo_strict,X-RAY DIFFRACTION,holo_downloaded,R18,yes
AVPR1A,9XB1,holo_strict,ELECTRON MICROSCOPY,holo_downloaded,CLR,yes
AVPR2,4JQI,holo_strict,X-RAY DIFFRACTION,holo_downloaded,PRO,yes
BDKRB1,7EIB,apo_fallback,ELECTRON MICROSCOPY,apo_downloaded,,no
BDKRB2,7F2O,apo_fallback,ELECTRON MICROSCOPY,apo_downloaded,,no
CACNA1B,7MIX,holo_strict,ELECTRON MICROSCOPY,holo_downloaded,Y01;CLR;3PE;PT5,yes
CACNA1C,2F3Y,apo_fallback,X-RAY DIFFRACTION,apo_downloaded,,no
CCKAR,7F8U,holo_strict,X-RAY DIFFRACTION,holo_downloaded,1OE,yes
CCKBR,1L4T,apo_fallback,SOLUTION NMR,apo_downloaded,,no
CHRM1,6ZFZ,holo_strict,X-RAY DIFFRACTION,holo_downloaded,QJT;OLA;OLC;EPE,yes
CHRM2,5YC8,holo_strict,X-RAY DIFFRACTION,holo_downloaded,3C0;HG,yes
CHRM3,8E9W,holo_strict,ELECTRON MICROSCOPY,holo_downloaded,WEC,yes
CHRM4,9N09,holo_strict,ELECTRON MICROSCOPY,holo_downloaded,5XI,yes
CHRM5,6OL9,holo_strict,X-RAY DIFFRACTION,holo_downloaded,OLA;0HK;P33;OLC,yes
CHRNA4,2LLY,apo_fallback,SOLUTION NMR,apo_downloaded,,no
CNR1,5TGZ,holo_strict,X-RAY DIFFRACTION,holo_downloaded,ZDG;FMN;OLC;OLA,yes
CRHR1,2L27,apo_fallback,SOLUTION NMR,apo_downloaded,,no
CRHR2,6PB1,holo_strict,ELECTRON MICROSCOPY,holo_downloaded,CLR;PLM,yes
DRD1,7JOZ,holo_strict,X-RAY DIFFRACTION,holo_downloaded,CLR;A1EKL;PLM,yes
DRD2,6CM4,holo_strict,X-RAY DIFFRACTION,holo_downloaded,8NU;OLA,yes
DRD3,7CMU,holo_strict,ELECTRON MICROSCOPY,holo_downloaded,G6L,yes
DRD4,5WIU,holo_strict,X-RAY DIFFRACTION,holo_downloaded,AQD;OLA,yes
DRD5,8IRV,holo_strict,ELECTRON MICROSCOPY,holo_downloaded,R5F;CLR;PLM,yes
EDNRA,8HCQ,apo_fallback,ELECTRON MICROSCOPY,apo_downloaded,,no
EDNRB,5GLI,holo_strict,X-RAY DIFFRACTION,holo_downloaded,OLC;OLA,yes
EGFR,1MOX,holo_strict,X-RAY DIFFRACTION,holo_downloaded,PT;CD,yes
ERBB2,3PP0,holo_strict,X-RAY DIFFRACTION,holo_downloaded,03Q,yes
ESR1,7NDO,holo_strict,X-RAY DIFFRACTION,holo_downloaded,RAL,yes
ESR2,1U3Q,holo_strict,X-RAY DIFFRACTION,holo_downloaded,272,yes
F2,1T4U,holo_strict,X-RAY DIFFRACTION,holo_downloaded,81A,yes
GABBR1,4MQE,apo_fallback,X-RAY DIFFRACTION,apo_downloaded,,no
GABRA1,6HUJ,holo_strict,ELECTRON MICROSCOPY,holo_downloaded,PIO;RI5;ABU,yes
GCGR,4ERS,apo_fallback,X-RAY DIFFRACTION,apo_downloaded,,no
GHSR,7F83,holo_strict,X-RAY DIFFRACTION,holo_downloaded,OLC;1KQ,yes
