gene,reason,detail
ABCB11,no_nontrivial_after_filter,count=0
ACHE,no_nontrivial_after_filter,count=0
ADRA2C,no_nontrivial_after_filter,count=0
BDKRB1,no_nontrivial_after_filter,count=0
BDKRB2,no_nontrivial_after_filter,count=0
CACNA1C,no_nontrivial_after_filter,count=0
CCKBR,no_nontrivial_after_filter,count=0
CRHR1,no_nontrivial_after_filter,count=0
GABBR1,no_nontrivial_after_filter,count=0
GCGR,no_nontrivial_after_filter,count=0
HTR3A,no_nontrivial_after_filter,count=0
KCNH2,no_nontrivial_after_filter,count=0
MAOA,no_nontrivial_after_filter,count=0
MC3R,no_nontrivial_after_filter,count=0
PDE6A,no_nontrivial_after_filter,count=0
SCN5A,no_nontrivial_after_filter,count=0
SLC29A1,no_nontrivial_after_filter,count=0
SLC6A2,no_nontrivial_after_filter,count=0
TACR2,no_nontrivial_after_filter,count=0
