gene,status,status_reason,query_status,pdb_id,nontrivial_comp_ids
ABCB11,no_nonstrivial_holo,query_returned_no_nontrivial_cofactor,NO_NONTRIVIAL,,
ACHE,no_nonstrivial_holo,query_returned_no_nontrivial_cofactor,NO_NONTRIVIAL,,
ADORA2A,no_nonstrivial_holo,query_returned_no_nontrivial_cofactor,NO_NONTRIVIAL,,
ADRA2C,no_nonstrivial_holo,query_returned_no_nontrivial_cofactor,NO_NONTRIVIAL,,
BDKRB1,no_nonstrivial_holo,query_returned_no_nontrivial_cofactor,NO_NONTRIVIAL,,
BDKRB2,no_nonstrivial_holo,query_returned_no_nontrivial_cofactor,NO_NONTRIVIAL,,
CACNA1C,no_nonstrivial_holo,query_returned_no_nontrivial_cofactor,NO_NONTRIVIAL,,
CCKBR,no_nonstrivial_holo,query_returned_no_nontrivial_cofactor,NO_NONTRIVIAL,,
CHRNA4,no_nonstrivial_holo,query_returned_no_nontrivial_cofactor,NO_NONTRIVIAL,,
CRHR1,no_nonstrivial_holo,query_returned_no_nontrivial_cofactor,NO_NONTRIVIAL,,
EDNRA,no_nonstrivial_holo,query_returned_no_nontrivial_cofactor,NO_NONTRIVIAL,,
GABBR1,no_nonstrivial_holo,query_returned_no_nontrivial_cofactor,NO_NONTRIVIAL,,
GCGR,no_nonstrivial_holo,query_returned_no_nontrivial_cofactor,NO_NONTRIVIAL,,
HTR3A,no_nonstrivial_holo,query_returned_no_nontrivial_cofactor,NO_NONTRIVIAL,,
KCNH2,no_nonstrivial_holo,query_returned_no_nontrivial_cofactor,NO_NONTRIVIAL,,
MAOA,no_nonstrivial_holo,query_returned_no_nontrivial_cofactor,NO_NONTRIVIAL,,
MC3R,no_nonstrivial_holo,query_returned_no_nontrivial_cofactor,NO_NONTRIVIAL,,
MLNR,no_nonstrivial_holo,query_returned_no_nontrivial_cofactor,NO_NONTRIVIAL,,
OPRM1,no_nonstrivial_holo,query_returned_no_nontrivial_cofactor,NO_NONTRIVIAL,,
PDE6A,no_nonstrivial_holo,query_returned_no_nontrivial_cofactor,NO_NONTRIVIAL,,
PTGS1,no_nonstrivial_holo,query_returned_no_nontrivial_cofactor,NO_NONTRIVIAL,,
SCN5A,no_nonstrivial_holo,query_returned_no_nontrivial_cofactor,NO_NONTRIVIAL,,
SLC29A1,no_nonstrivial_holo,query_returned_no_nontrivial_cofactor,NO_NONTRIVIAL,,
SLC6A2,no_nonstrivial_holo,query_returned_no_nontrivial_cofactor,NO_NONTRIVIAL,,
TACR2,no_nonstrivial_holo,query_returned_no_nontrivial_cofactor,NO_NONTRIVIAL,,
