variant	pH	pdb_id	run_id	target_name	library_name	controls_found	control_id	rmsd_to_crystal_A	redock_best_energy_kcal_mol	chosen	max_spread_A	policy
APO	pH7_2+7_7-dup4	2OJG	20251205_225826	MITOGEN-ACTIVATED PROTEIN KINASE 1	mk01	4	2OJG_top_ligand.sanitized.pdbqt	0.0	-8.991	0	24.31	best_redock thr=8.00A
APO	pH7_2+7_7-dup4	2OJG	20251205_225826	MITOGEN-ACTIVATED PROTEIN KINASE 1	mk01	4	2OJG.sanitized.pdbqt	0.0	-8.997	0	24.31	best_redock thr=8.00A
APO	pH7_2+7_7-dup4	2OJG	20251205_225826	MITOGEN-ACTIVATED PROTEIN KINASE 1	mk01	4	19A_A360.sanitized.pdbqt	0.0	-8.998	1	24.31	best_redock thr=8.00A
APO	pH7_0	TEST	20251205_225826		test_library_10	2	TEST.sanitized.pdbqt	0.0	-1.133	0	0.0	best_redock thr=8.00A
APO	pH7_0	TEST	20251205_225826		test_library_10	2	LIG_A301.sanitized.pdbqt	0.0	-1.133	1	0.0	best_redock thr=8.00A
APO	pH7_6	2AM9	20251205_225826	ANDROGEN RECEPTOR	andr	5	2AM9_top_ligand.sanitized.pdbqt	0.0	-8.208	0	48.68	best_redock thr=8.00A
APO	pH7_6	2AM9	20251205_225826	ANDROGEN RECEPTOR	andr	5	2AM9_top_ligand.pdbqt	0.0	-10.27	1	48.68	best_redock thr=8.00A
APO	pH7_6	2AM9	20251205_225826	ANDROGEN RECEPTOR	andr	5	2AM9_top_ligand.pdbqt	0.0	-10.3	0	48.68	best_redock thr=8.00A
APO	pH7_0	1BCD	20251205_225826	CARBONIC ANHYDRASE II	cah2	1	FMS_A500.sanitized.pdbqt	0.36	-5.584	1	0.0	best_redock thr=8.00A
APO	pH8_7	1L2S	20251205_225826	BETA-LACTAMASE	ampc	5	1L2S_top_ligand.sanitized.pdbqt	0.02	-7.134	0	58.36	best_redock thr=8.00A
APO	pH8_7	1L2S	20251205_225826	BETA-LACTAMASE	ampc	5	STC_B2115.sanitized.pdbqt	0.0	-7.66	1	58.36	best_redock thr=8.00A
APO	pH8_7	1L2S	20251205_225826	BETA-LACTAMASE	ampc	5	1L2S.sanitized.pdbqt	0.02	-7.126	0	58.36	best_redock thr=8.00A
APO	pH8_7	1L2S	20251205_225826	BETA-LACTAMASE	ampc	5	STC_A1115.sanitized.pdbqt	0.02	-7.114	0	58.36	best_redock thr=8.00A
APO	pH8_7	1L2S	20251205_225826	BETA-LACTAMASE	ampc	5	STC_B3115.sanitized.pdbqt	0.0	-8.023	0	58.36	best_redock thr=8.00A
APO	pH7_0	1MV9	20251205_225826	RXR RETINOID X RECEPTOR, NUCLEAR RECEPTOR COACTIVATOR 2	rxra	1	HXA_A200.sanitized.pdbqt	2.65	-7.407	1	0.0	best_redock thr=8.00A
APO	pH6_5	1XL2	20251205_225826	PROTEASE RETROPEPSIN	hivpr	2	189_A1001.sanitized.ob.obabel_tmp.pdbqt	2.24	-9.984	1	19.29	best_redock thr=8.00A
APO	pH7_5	2OWB	20251205_225826	SERINE/THREONINE-PROTEIN KINASE PLK1	plk1	3	626_A500.sanitized.ob.obabel_tmp.pdbqt	0.98	-11.219	0	25.04	best_redock thr=8.00A
APO	pH7_5	2OWB	20251205_225826	SERINE/THREONINE-PROTEIN KINASE PLK1	plk1	3	ACT_A503.sanitized.pdbqt	0.0	-2.943	0	25.04	best_redock thr=8.00A
APO	pH7_5	2OWB	20251205_225826	SERINE/THREONINE-PROTEIN KINASE PLK1	plk1	3	ACT_A502.sanitized.pdbqt	0.0	-2.534	1	25.04	best_redock thr=8.00A
APO	pH7_2	1SJ0	20251205_225826	ESTROGEN RECEPTOR	esr1	1	E4D_A600.sanitized.pdbqt	0.95	-11.576	1	0.0	best_redock thr=8.00A
