variant	pH	pdb_id	run_id	target_name	library_name	controls_found	control_id	rmsd_to_crystal_A	redock_best_energy_kcal_mol	chosen	max_spread_A	policy
APO	pH7_0	1BCD	20251128_214459	CARBONIC ANHYDRASE II		0				0		
APO	pH7_9+8_4+8_9-dup1	1BN1				0				0		
APO	pH7_0	1MV9	20251128_214459	RXR RETINOID X RECEPTOR, NUCLEAR RECEPTOR COACTIVATOR 2		0				0		
APO	pH7_2	1SJ0	20251128_214459	ESTROGEN RECEPTOR	esr1	0				0		
HOLO	pH8_5	1T46				0				0		
APO	pH6_5	1XL2	20251128_214459	PROTEASE RETROPEPSIN		0				0		
APO	pH7_5	2AA2	20251128_214459	MINERALOCORTICOID RECEPTOR		0				0		
APO	pH7_0	2HV5	20251128_214459	ALDOSE REDUCTASE		0				0		
APO	pH7_0	2I78	20251128_214459	DIPEPTIDYL PEPTIDASE IV		0				0		
APO	pH8_5	2OF2	20251128_214459	PROTO-ONCOGENE TYROSINE-PROTEIN KINASE LCK		0				0		
APO	pH7_5	2OWB	20251128_214459	SERINE/THREONINE-PROTEIN KINASE PLK1		0				0		
APO	pH6_5	3LAN				0				0		
