target_name	library_name	pdb_id	N	n_actives	actives_fraction	ROC_AUC	PR_AUC	logAUC	logAUC_adj	BEDROC_alpha_20	EF@1%	EF@2%	EF@5%	EF@10%
PROTO-ONCOGENE TYROSINE-PROTEIN KINASE ABL1	abl1	2GQG	11212	296	0.026400285408490903	0.7492530490824281	0.08216251083911183	0.3005711290952717	0.15595112909527173	0.25890714164260187	4.058397683397683	5.242097007722008	4.658837982367395	3.987197724039829
PROTO-ONCOGENE TYROSINE-PROTEIN KINASE ABL1	abl1	2HYY	11212	296	0.026400285408490903	0.7017397286898477	0.24800647855067967	0.3914813071788308	0.24686130717883079	0.40207351845438394	21.982987451737454	14.711691602316602	7.022016669075493	4.325095836246595
HEPATOCYTE GROWTH FACTOR RECEPTOR	met	2WGJ	2812	247	0.08783783783783784	0.7725106738957154	0.266734985939491	0.31859016985121086	0.17397016985121086	0.36699596389527894	6.505494505494505	5.082417582417582	3.6333878887070377	2.9980837667670404
PROTO-ONCOGENE TYROSINE-PROTEIN KINASE ABL1	abl1	3CS9	11212	296	0.026400285408490903	0.6772947656799342	0.1989124004023158	0.3505925007425723	0.2059725007425723	0.35835357016788194	17.248190154440152	12.851592664092664	6.6169003227826755	3.7168792342744172
PROTEIN (ESTROGEN RECEPTOR ALPHA)	esr1	3ERT	12544	627	0.04998405612244898	0.7623015597382159	0.1709396132359539	0.3117612707247882	0.1671412707247882	0.2843973280086916	9.122909090909092	6.217121942850607	3.8608802708525696	2.919591279198431
MAST/STEM CELL GROWTH FACTOR RECEPTOR	kit	3G0E	10863	253	0.023290067200589157	0.7690826016175358	0.07803271567905787	0.29988297803101144	0.15526297803101144	0.2100512221525091	6.696558726474961	4.353035463834903	3.400148494311358	3.162928831917542
AKAP9-BRAF FUSION PROTEIN	braf	3OG7	9469	251	0.026507550955750345	0.8332750577209496	0.207115781473928	0.42189112783766936	0.2772711278376694	0.4036860858248617	19.061102956594674	12.17582579733974	7.0186231816918365	4.899880940861685
TYROSINE-PROTEIN KINASE ABL1	abl1	3OXZ	11180	295	0.026386404293381037	0.6997398067625328	0.2104832842850467	0.34832740613358243	0.20370740613358243	0.3304230069227201	15.903753026634384	10.3205205811138	5.627118644067797	3.728813559322034
PROTO-ONCOGENE TYROSINE-PROTEIN KINASE SRC	src	4U5J	26889	831	0.030904830971772844	0.5169383091444901	0.03139769012842084	0.14591453408881158	0.001294534088811583	0.06805261862113815	0.8420141451827198	0.9623018802088226	1.1556214543579164	0.9506264994569399
SERINE/THREONINE-PROTEIN KINASE B-RAF	braf	4XV2	9506	254	0.026719966337050285	0.8198825280594789	0.1491207995202781	0.3801522525175671	0.23553225251756713	0.3575243618996963	14.57612929962702	9.651761292996271	5.988031496062992	4.879836392690661
TYROSINE-PROTEIN KINASE ABL1	abl1	5MO4	11180	295	0.026386404293381037	0.6727010424857719	0.12507741974849856	0.2963689214327399	0.1517489214327399	0.26458617380935057	11.843220338983052	6.598365617433414	4.338983050847458	3.322033898305085
