ligand_base,rank,pdb_id,variant,ph_label,t_selected,t_stage2,pose_valid_any,library
decoys_test_library_10_10,1,TEST,HOLO,pH7_0,-0.593995,-0.593995,0,DECOY
decoys_test_library_10_2,1,TEST,HOLO,pH7_0,1.72305,-1.0,0,DECOY
decoys_test_library_10_8,1,TEST,HOLO,pH7_0,-0.421554,1.0,0,DECOY
decoys_test_library_10_9,1,TEST,HOLO,pH7_0,-0.707501,-0.707501,0,DECOY
LIG_A301,1,TEST,HOLO,pH7_0,1.21664,-3.5,0,UNKNOWN
LIG_A301,2,TEST,HOLO,pH7_0,0.911048,-3.5,0,UNKNOWN
TEST,1,TEST,HOLO,pH7_0,1.06384,-3.5,0,UNKNOWN
TEST,2,TEST,HOLO,pH7_0,0.758251,-3.5,0,UNKNOWN
test_library_10_1,1,TEST,HOLO,pH7_0,0.559616,-3e-06,0,UNKNOWN
test_library_10_10,1,TEST,HOLO,pH7_0,0.258389,0.258389,0,UNKNOWN
test_library_10_2,1,TEST,HOLO,pH7_0,-0.00791266,-0.00791266,0,UNKNOWN
test_library_10_3,1,TEST,HOLO,pH7_0,0.978715,0.978715,0,UNKNOWN
test_library_10_4,1,TEST,HOLO,pH7_0,0.563982,0.563982,0,UNKNOWN
test_library_10_5,1,TEST,HOLO,pH7_0,0.924145,0.924145,0,UNKNOWN
test_library_10_6,1,TEST,HOLO,pH7_0,-0.111596,-0.111596,0,UNKNOWN
test_library_10_7,1,TEST,HOLO,pH7_0,-0.0319235,-0.0319235,0,UNKNOWN
test_library_10_8,1,TEST,HOLO,pH7_0,0.682945,0.682945,0,UNKNOWN
test_library_10_9,1,TEST,HOLO,pH7_0,0.371895,0.371895,0,UNKNOWN
