run_id,pdb_id,variant,ph_label,library,run_mode,ligand,ligand_file,ligand_base,is_decoy,is_control,pose_valid_any,pose_invalid_reason_top,pocket_method,center_x,center_y,center_z,box_x,box_y,box_z,ef1,roc_auc,roc_auc_adj,dud_eval_status_reason,t_stage1,t_stage2,t_selected,t_selected_source,source_csv,SCORCH_certainty_used,SCORCH_score_used,best_engine,best_signal,blend_mu_decoy,blend_n_decoys,blend_sigma_decoy,cnn_affinity_used,cnn_pct,cnn_rescored_flag,cnn_score_used,cnn_vs_used,consensus_rank,consensus_score,final_rank,final_score,ml_blend_score,n_engines_with_data,p_cnn,p_dock6,p_energy,p_gnina_energy,p_ledock,p_vina,rescored_flag,scorch_composite,scorch_pct,scorch_source_used,t_vs_decoys_blend,t_vs_decoys_consensus
geminiTEST,TEST,HOLO,pH7_0,,dud,decoys_test_library_10_2_dud_stage3,decoys_test_library_10_2_dud_stage3,decoys_test_library_10_2,1,0,0,,,,,,,,,,,,,,-1.0,,,post_docked/geminiTEST/TEST/HOLO/pH7_0/consensus_reranked_scorch.csv,0.99971,0.00026,vina,,0.5,2,0.325,,0.5,0,,,15,,7,-7,0.175,,,,,,,,1,0.000259925,0,vina,-1,
geminiTEST,TEST,HOLO,pH7_0,,dud,decoys_test_library_10_8__dock6_dud_stage1,decoys_test_library_10_8__dock6_dud_stage1,decoys_test_library_10_8,1,0,0,,,,,,,,,,,,,,1.0,,,post_docked/geminiTEST/TEST/HOLO/pH7_0/consensus_reranked_scorch.csv,0.96258,0.01688,dock6,,0.5,2,0.325,,0.5,0,,,16,,1,-1,0.825,,,,,,,,1,0.0162484,1,dock6,1,
geminiTEST,TEST,HOLO,pH7_0,UNKNOWN,fda,LIG_A301.pdbqt,LIG_A301.pdbqt,LIG_A301,0,1,0,,,,,,,,,,,,,,0.0,,,post_docked/geminiTEST/TEST/HOLO/pH7_0/consensus_reranked_scorch.csv,0.99886,0.00098,ledock,ledock,0.5,2,0.325,,0.5,0,,,1,0.836813186813187,3,-3,0.5,4,0.0,0.15384615384615385,0.6373626373626374,1.0,1.0,1.0,1,0.000978883,0.5,ledock,0,
geminiTEST,TEST,HOLO,pH7_0,UNKNOWN,fda,LIG_A301.sanitized.pdbqt,LIG_A301.sanitized.pdbqt,LIG_A301,0,1,0,,,,,,,,,,,,,,0.0,,,post_docked/geminiTEST/TEST/HOLO/pH7_0/consensus_reranked_scorch.csv,0.99886,0.00098,ledock,ledock,0.5,2,0.325,,0.5,0,,,2,0.7401098901098903,4,-4,0.5,4,0.0,0.07692307692307687,0.5164835164835165,0.7692307692307692,0.9230769230769231,0.9230769230769231,1,0.000978883,0.5,ledock,0,
geminiTEST,TEST,HOLO,pH7_0,UNKNOWN,fda,TEST.sanitized.pdbqt,TEST.sanitized.pdbqt,TEST,0,1,0,,,,,,,,,,,,,,0.0,,,post_docked/geminiTEST/TEST/HOLO/pH7_0/consensus_reranked_scorch.csv,0.99886,0.00098,ledock,ledock,0.5,2,0.325,,0.5,0,,,3,0.7274725274725276,5,-5,0.5,4,0.0,0.23076923076923073,0.5824175824175825,0.8461538461538461,0.8461538461538461,0.8461538461538461,1,0.000978883,0.5,ledock,0,
geminiTEST,TEST,HOLO,pH7_0,UNKNOWN,dud,TEST.pdbqt,TEST.pdbqt,TEST,0,1,0,,,,,,,,,,,,,,-0.666668,,,post_docked/geminiTEST/TEST/HOLO/pH7_0/consensus_reranked_scorch.csv,0.99858,0.00096,gnina,gnina_energy,0.5,2,0.325,,0.5,0,,,5,0.6406593406593407,6,-6,0.283333,4,0.0,0.0,0.4835164835164836,0.9230769230769231,0.7692307692307692,0.7692307692307692,1,0.000958637,0.166667,gnina,-0.666668,
geminiTEST,TEST,HOLO,pH7_0,UNKNOWN,fda,test_library_10_1.pdbqt,test_library_10_1.pdbqt,test_library_10_1,0,0,0,,,,,,,,,,,,,,0.666668,,,post_docked/geminiTEST/TEST/HOLO/pH7_0/consensus_reranked_scorch.csv,0.98264,0.00976,dock6,dock6,0.5,2,0.325,,0.5,0,,,13,0.19065934065934065,2,-2,0.716667,4,0.0,0.6153846153846154,0.3296703296703297,0.07692307692307687,0.07692307692307687,0.15384615384615385,1,0.00959057,0.833333,ledock,0.666668,
geminiTEST,TEST,HOLO,pH7_0,UNKNOWN,,test_library_10_10.pdbqt,test_library_10_10.pdbqt,test_library_10_10,0,0,0,,,,,,,,,,,,,,0.0,,,post_docked/geminiTEST/TEST/HOLO/pH7_0/consensus_reranked_scorch.csv,,,dock6,dock6,0.5,2,0.325,,0.5,0,,,10,0.43131868131868134,13,-13,0.5,4,0.0,0.8461538461538461,0.5824175824175825,0.3846153846153846,0.3076923076923077,0.3846153846153846,0,,0.5,,0,
geminiTEST,TEST,HOLO,pH7_0,UNKNOWN,,test_library_10_2.pdbqt,test_library_10_2.pdbqt,test_library_10_2,0,0,0,,,,,,,,,,,,,,0.0,,,post_docked/geminiTEST/TEST/HOLO/pH7_0/consensus_reranked_scorch.csv,,,dock6,dock6,0.5,2,0.325,,0.5,0,,,4,0.6472527472527474,8,-8,0.5,4,0.0,1.0,0.7802197802197803,0.6153846153846154,0.5384615384615384,0.6153846153846154,0,,0.5,,0,
geminiTEST,TEST,HOLO,pH7_0,UNKNOWN,,test_library_10_3.pdbqt,test_library_10_3.pdbqt,test_library_10_3,0,0,0,,,,,,,,,,,,,,0.0,,,post_docked/geminiTEST/TEST/HOLO/pH7_0/consensus_reranked_scorch.csv,,,dock6,dock6,0.5,2,0.325,,0.5,0,,,7,0.5857142857142857,10,-10,0.5,4,0.0,0.9230769230769231,0.5494505494505495,0.5384615384615384,0.6153846153846154,0.0,0,,0.5,,0,
