ligand_base,rank,pdb_id,variant,ph_label,t_selected,t_stage2,pose_valid_any,library
decoys_test_library_10_10,1,TEST,HOLO,pH7_0,-0.556798,-0.556798,0,DECOY
decoys_test_library_10_2,1,TEST,HOLO,pH7_0,1.73008,-1.0,0,DECOY
decoys_test_library_10_8,1,TEST,HOLO,pH7_0,-0.521428,-0.521428,0,DECOY
decoys_test_library_10_9,1,TEST,HOLO,pH7_0,-0.651854,1.0,0,DECOY
LIG_A301,1,TEST,HOLO,pH7_0,1.04258,-0.666667,0,UNKNOWN
LIG_A301,2,TEST,HOLO,pH7_0,0.772885,-0.333335,0,UNKNOWN
TEST,1,TEST,HOLO,pH7_0,1.11774,-1.33333,0,UNKNOWN
TEST,2,TEST,HOLO,pH7_0,1.00721,1.79487e-06,0,UNKNOWN
test_library_10_1,1,TEST,HOLO,pH7_0,0.0577522,0.666667,0,UNKNOWN
test_library_10_10,1,TEST,HOLO,pH7_0,0.73641,0.333335,0,UNKNOWN
test_library_10_2,1,TEST,HOLO,pH7_0,0.53635,0.53635,0,UNKNOWN
test_library_10_3,1,TEST,HOLO,pH7_0,0.986209,0.986209,0,UNKNOWN
test_library_10_4,1,TEST,HOLO,pH7_0,-0.102517,-0.102517,0,UNKNOWN
test_library_10_5,1,TEST,HOLO,pH7_0,0.111912,0.111912,0,UNKNOWN
test_library_10_6,1,TEST,HOLO,pH7_0,0.41145,0.41145,0,UNKNOWN
test_library_10_7,1,TEST,HOLO,pH7_0,0.631406,0.631406,0,UNKNOWN
test_library_10_8,1,TEST,HOLO,pH7_0,-0.247312,-0.247312,0,UNKNOWN
test_library_10_9,1,TEST,HOLO,pH7_0,0.911048,0.911048,0,UNKNOWN
