ligand_base,rank,pdb_id,variant,ph_label,t_selected,t_stage2,pose_valid_any,library
decoys_test_library_10_10,1,TEST,HOLO,pH7_0,-0.584789,-0.584789,0,DECOY
decoys_test_library_10_2,1,TEST,HOLO,pH7_0,1.72487,-1.0,0,DECOY
decoys_test_library_10_8,1,TEST,HOLO,pH7_0,-0.441665,1.0,0,DECOY
decoys_test_library_10_9,1,TEST,HOLO,pH7_0,-0.698415,-0.698415,0,DECOY
LIG_A301,1,TEST,HOLO,pH7_0,1.00597,2.33334,0,UNKNOWN
LIG_A301,2,TEST,HOLO,pH7_0,0.951341,2.33334,0,UNKNOWN
TEST,1,TEST,HOLO,pH7_0,1.18842,2.33334,0,UNKNOWN
TEST,2,TEST,HOLO,pH7_0,0.808216,-0.333335,0,UNKNOWN
test_library_10_1,1,TEST,HOLO,pH7_0,-0.0472529,0.333335,0,UNKNOWN
test_library_10_10,1,TEST,HOLO,pH7_0,0.358084,0.358084,0,UNKNOWN
test_library_10_2,1,TEST,HOLO,pH7_0,0.303457,0.303457,0,UNKNOWN
test_library_10_3,1,TEST,HOLO,pH7_0,0.915286,0.915286,0,UNKNOWN
test_library_10_4,1,TEST,HOLO,pH7_0,1.06824,1.06824,0,UNKNOWN
test_library_10_5,1,TEST,HOLO,pH7_0,-0.269041,-0.269041,0,UNKNOWN
test_library_10_6,1,TEST,HOLO,pH7_0,0.629038,0.629038,0,UNKNOWN
test_library_10_7,1,TEST,HOLO,pH7_0,0.821327,0.821327,0,UNKNOWN
test_library_10_8,1,TEST,HOLO,pH7_0,0.268495,0.268495,0,UNKNOWN
test_library_10_9,1,TEST,HOLO,pH7_0,0.145036,0.145036,0,UNKNOWN
