Ligand,stage1,stage2,stage3
1UN_A201.pdbqt,-7.80,,
238_A400.pdbqt,-9.10,-9.09,
2PE_A302.pdbqt,-3.96,,
735_A469.pdbqt,-8.45,,
AQ4_A999.pdbqt,-6.55,,
ATP_A1232.pdbqt,-7.35,,
ATP_A402.pdbqt,-6.69 (invalid),,
ATP_A510.pdbqt,-7.03,,
ATP_B2510.pdbqt,-6.93,,
ATP_C3510.pdbqt,-7.34 (invalid),,
ATP_D4510.pdbqt,-7.84 (invalid),,
BOG_A703.pdbqt,-5.63,,
BOG_D703.pdbqt,-5.73 (invalid),,
CEL_A682.pdbqt,-7.45,,
CEL_B682.pdbqt,-7.66,,
CEL_C682.pdbqt,-7.50,,
CEL_D682.pdbqt,-7.52,,
CIT_A9202.pdbqt,-5.21 (invalid),,
CIT_B9201.pdbqt,-5.06 (invalid),,
CIT_B9204.pdbqt,-5.18 (invalid),,
CIT_B9206.pdbqt,-5.31 (invalid),,
DDQ_A630.pdbqt,-4.63,,
EAL_A3002.pdbqt,-7.13,,
FMN_A398.pdbqt,-8.04 (invalid),,
GG2_A298.pdbqt,-9.15,-9.14,
GOL_A401.pdbqt,-3.99 (invalid),,
GOL_A405.pdbqt,-4.00 (invalid),,
GOL_A406.pdbqt,-4.00,,
GOL_A9101.pdbqt,-3.98 (invalid),,
GOL_B9102.pdbqt,-4.00,,
HUP_A1540.pdbqt,-7.12,,
MES_A211.pdbqt,-4.75,,
MES_B211.pdbqt,-4.64,,
NAG_A1536.pdbqt,-5.97,,
NAG_A1539.pdbqt,-5.89,,
NAG_A467.pdbqt,-5.96,,
NAG_A661.pdbqt,-5.97 (invalid),,
NAG_A681.pdbqt,-5.07,,
NAG_B1.pdbqt,-5.54 (invalid),,
NAG_B2.pdbqt,-5.84,,
NAG_B661.pdbqt,-5.26,,
NAG_B681.pdbqt,-5.87,,
NAG_C661.pdbqt,-5.27,,
NAG_C681.pdbqt,-5.59,,
NAG_D661.pdbqt,-5.73,,
NAG_D681.pdbqt,-5.93,,
NAG_E1.pdbqt,-5.88 (invalid),,
NAG_E2.pdbqt,-5.62,,
NAG_E3.pdbqt,-5.87,,
NAG_F1.pdbqt,-5.86,,
NAG_F2.pdbqt,-5.93,,
NAG_F3.pdbqt,-5.58,,
NAG_G1.pdbqt,-5.91,,
NAG_G2.pdbqt,-5.82,,
NAG_G3.pdbqt,-5.86,,
NAG_H1.pdbqt,-5.54,,
NAG_H2.pdbqt,-6.01,,
NAG_H3.pdbqt,-5.89 (invalid),,
