Ligand,stage1,stage2,stage3
1UN_A201.pdbqt,2.30,,
238_A400.pdbqt,4.85,,
2PE_A302.pdbqt,-4.11 (invalid),,
735_A469.pdbqt,42.47 (invalid),,
AQ4_A999.pdbqt,-4.51 (invalid),,
ATP_A1232.pdbqt,-5.80 (invalid),,
ATP_A402.pdbqt,-5.66 (invalid),,
ATP_A510.pdbqt,-6.71 (invalid),,
ATP_B2510.pdbqt,-5.25 (invalid),,
ATP_C3510.pdbqt,-6.26 (invalid),,
ATP_D4510.pdbqt,-5.65 (invalid),,
BOG_A703.pdbqt,-5.46,,
BOG_D703.pdbqt,-5.26 (invalid),,
CEL_A682.pdbqt,-4.98,,
CEL_B682.pdbqt,-5.12,,
CEL_C682.pdbqt,-5.15,,
CEL_D682.pdbqt,-3.75,,
CIT_A9202.pdbqt,-5.36 (invalid),,
CIT_B9201.pdbqt,-5.14 (invalid),,
CIT_B9204.pdbqt,-5.11 (invalid),,
CIT_B9206.pdbqt,-5.16 (invalid),,
DDQ_A630.pdbqt,-4.64,,
EAL_A3002.pdbqt,-6.70 (invalid),,
FMN_A398.pdbqt,-6.27 (invalid),,
GG2_A298.pdbqt,12.39,,
GOL_A401.pdbqt,-3.65,,
GOL_A405.pdbqt,-3.63,,
GOL_A406.pdbqt,-3.64 (invalid),,
GOL_A9101.pdbqt,-3.60,,
GOL_B9102.pdbqt,-3.64 (invalid),,
HUP_A1540.pdbqt,-6.77 (invalid),,
MES_A211.pdbqt,-4.99 (invalid),,
MES_B211.pdbqt,-4.99 (invalid),,
NAG_A1536.pdbqt,-5.90 (invalid),,
NAG_A1539.pdbqt,-5.55 (invalid),,
NAG_A467.pdbqt,-5.51 (invalid),,
NAG_A661.pdbqt,-5.53,,
NAG_A681.pdbqt,-5.51 (invalid),,
NAG_B1.pdbqt,-5.51 (invalid),,
NAG_B2.pdbqt,-5.51 (invalid),,
NAG_B661.pdbqt,-5.49 (invalid),,
NAG_B681.pdbqt,-5.51 (invalid),,
NAG_C661.pdbqt,-5.53 (invalid),,
NAG_C681.pdbqt,-5.64 (invalid),,
NAG_D661.pdbqt,-5.62 (invalid),,
NAG_D681.pdbqt,-5.52 (invalid),,
NAG_E1.pdbqt,-5.53,,
NAG_E2.pdbqt,-5.56 (invalid),,
NAG_E3.pdbqt,-5.54,,
NAG_F1.pdbqt,-5.50 (invalid),,
NAG_F2.pdbqt,-5.49 (invalid),,
NAG_F3.pdbqt,-5.50 (invalid),,
NAG_G1.pdbqt,-5.46 (invalid),,
NAG_G2.pdbqt,-5.55 (invalid),,
NAG_G3.pdbqt,-5.52 (invalid),,
NAG_H1.pdbqt,-5.51 (invalid),,
NAG_H2.pdbqt,-5.50 (invalid),,
NAG_H3.pdbqt,-5.45 (invalid),,
ORO_A399.pdbqt,-5.31,,
PEG_A407.pdbqt,-3.89 (invalid),,
RA2_A468.pdbqt,-6.15 (invalid),,
XK2_A263.pdbqt,9.69,,
fda_0001.pdbqt,-5.68 (invalid),,
fda_0002.pdbqt,-4.94,,
fda_0003.pdbqt,-7.41,-7.42,
fda_0004.pdbqt,28.55 (invalid),,
fda_0005.pdbqt,-6.59,,
fda_0006.pdbqt,-5.60 (invalid),,
fda_0007.pdbqt,-5.27,,
fda_0008.pdbqt,-5.83,,
fda_0009.pdbqt,-4.84 (invalid),,
fda_0010.pdbqt,-6.90,,
fda_0011.pdbqt,-6.56 (invalid),,
fda_0012.pdbqt,-4.16,,
fda_0013.pdbqt,-5.84,,
fda_0014.pdbqt,-5.60 (invalid),,
fda_0015.pdbqt,-5.55,,
fda_0016.pdbqt,-6.33,,
fda_0017.pdbqt,-4.85 (invalid),,
fda_0018.pdbqt,-3.45,,
fda_0019.pdbqt,-4.70 (invalid),,
fda_0020.pdbqt,-5.88,,
fda_0021.pdbqt,-5.34 (invalid),,
fda_0022.pdbqt,-6.68,,
fda_0023.pdbqt,-6.42,,
fda_0024.pdbqt,-5.30 (invalid),,
fda_0025.pdbqt,-2.08 (invalid),,
fda_0026.pdbqt,-5.70,,
fda_0027.pdbqt,-6.07,,
fda_0028.pdbqt,-4.32,,
fda_0029.pdbqt,-6.89 (invalid),,
fda_0030.pdbqt,-6.42,,
fda_0031.pdbqt,-6.24 (invalid),,
fda_0032.pdbqt,-6.13 (invalid),,
fda_0033.pdbqt,-5.27,,
fda_0034.pdbqt,-5.16,,
fda_0035.pdbqt,-6.85 (invalid),,
fda_0036.pdbqt,-6.81,,
fda_0037.pdbqt,-6.70 (invalid),,
fda_0038.pdbqt,-4.95 (invalid),,
fda_0039.pdbqt,-6.83 (invalid),,
fda_0040.pdbqt,-4.89 (invalid),,
fda_0041.pdbqt,-2.47,,
fda_0042.pdbqt,15.19 (invalid),,
fda_0043.pdbqt,-5.00,,
fda_0044.pdbqt,18.95 (invalid),,
fda_0045.pdbqt,-5.11,,
fda_0046.pdbqt,-5.91,,
fda_0047.pdbqt,-1.88,,
fda_0048.pdbqt,-6.26,,
fda_0049.pdbqt,-3.09,,
fda_0050.pdbqt,-7.42 (invalid),,
fda_0051.pdbqt,-5.70,,
fda_0052.pdbqt,-5.89 (invalid),,
fda_0053.pdbqt,-3.12,,
fda_0054.pdbqt,-5.82,,
fda_0055.pdbqt,-6.52,,
fda_0056.pdbqt,-4.93 (invalid),,
fda_0057.pdbqt,-5.62,,
fda_0058.pdbqt,-6.74,,
fda_0059.pdbqt,-4.87 (invalid),,
fda_0060.pdbqt,-8.31,-8.43 (invalid),
fda_0061.pdbqt,-4.83 (invalid),,
fda_0062.pdbqt,-6.91 (invalid),,
fda_0063.pdbqt,-6.40,,
fda_0064.pdbqt,-5.87 (invalid),,
fda_0065.pdbqt,-6.26,,
fda_0066.pdbqt,-5.94,,
fda_0067.pdbqt,-3.47 (invalid),,
fda_0068.pdbqt,-5.62,,
fda_0069.pdbqt,-6.05,,
fda_0070.pdbqt,-6.28 (invalid),,
fda_0071.pdbqt,-5.32,,
fda_0072.pdbqt,-6.01,,
fda_0073.pdbqt,-2.64,,
fda_0074.pdbqt,-6.11,,
fda_0075.pdbqt,-5.45 (invalid),,
fda_0076.pdbqt,-5.27 (invalid),,
fda_0077.pdbqt,-5.27,,
fda_0078.pdbqt,-7.01,,
fda_0079.pdbqt,-3.06,,
fda_0080.pdbqt,-5.54,,
fda_0081.pdbqt,-6.62 (invalid),,
fda_0082.pdbqt,-5.77,,
fda_0083.pdbqt,-6.71 (invalid),,
fda_0084.pdbqt,-7.36,-7.39,
fda_0085.pdbqt,-6.55 (invalid),,
fda_0086.pdbqt,-6.12 (invalid),,
fda_0087.pdbqt,-5.87,,
fda_0088.pdbqt,-6.09,,
fda_0089.pdbqt,-6.08,,
fda_0090.pdbqt,-4.41,,
fda_0091.pdbqt,-5.13 (invalid),,
fda_0092.pdbqt,-6.41,,
fda_0093.pdbqt,-5.88,,
fda_0094.pdbqt,-6.98,,
fda_0095.pdbqt,-7.15,-7.16,
fda_0096.pdbqt,-7.82,-7.84 (invalid),
fda_0097.pdbqt,-6.52 (invalid),,
fda_0098.pdbqt,-6.17 (invalid),,
fda_0099.pdbqt,-6.92,,
fda_0100.pdbqt,-7.21 (invalid),,
fda_0101.pdbqt,-5.89,,
fda_0102.pdbqt,-4.55 (invalid),,
fda_0103.pdbqt,-6.80,,
fda_0104.pdbqt,6.81 (invalid),,
fda_0105.pdbqt,-6.77,,
fda_0106.pdbqt,-4.18,,
fda_0107.pdbqt,-4.20 (invalid),,
fda_0108.pdbqt,-6.53 (invalid),,
fda_0109.pdbqt,-5.66,,
fda_0110.pdbqt,-5.47 (invalid),,
fda_0111.pdbqt,-4.36,,
fda_0112.pdbqt,-5.50,,
fda_0113.pdbqt,-5.78,,
fda_0114.pdbqt,-6.92,,
fda_0115.pdbqt,-5.95,,
fda_0116.pdbqt,-6.79,,
fda_0117.pdbqt,-5.77,,
fda_0118.pdbqt,-6.25,,
fda_0119.pdbqt,-2.66,,
fda_0120.pdbqt,-5.68,,
fda_0121.pdbqt,-5.71,,
fda_0122.pdbqt,-6.89 (invalid),,
fda_0123.pdbqt,-4.18,,
fda_0124.pdbqt,-6.09 (invalid),,
fda_0125.pdbqt,-0.17,,
fda_0126.pdbqt,-6.12,,
fda_0127.pdbqt,-5.28,,
fda_0128.pdbqt,-6.29,,
fda_0129.pdbqt,-6.42,,
fda_0130.pdbqt,-4.51,,
fda_0131.pdbqt,-7.13 (invalid),,
fda_0132.pdbqt,-6.50 (invalid),,
fda_0133.pdbqt,-6.82 (invalid),,
fda_0134.pdbqt,-4.69 (invalid),,
fda_0135.pdbqt,-4.18 (invalid),,
fda_0136.pdbqt,-6.36 (invalid),,
fda_0137.pdbqt,-5.21,,
fda_0138.pdbqt,-4.29 (invalid),,
fda_0139.pdbqt,-4.68,,
fda_0140.pdbqt,-3.83,,
fda_0141.pdbqt,-3.61 (invalid),,
fda_0142.pdbqt,-5.86,,
fda_0143.pdbqt,-5.23,,
fda_0144.pdbqt,-5.79,,
fda_0145.pdbqt,-5.35,,
fda_0146.pdbqt,-6.03,,
fda_0147.pdbqt,-6.13,,
fda_0148.pdbqt,-5.97 (invalid),,
fda_0149.pdbqt,-6.15,,
fda_0150.pdbqt,-5.90 (invalid),,
fda_0151.pdbqt,-6.08,,
fda_0152.pdbqt,-6.66,,
fda_0153.pdbqt,-5.61,,
fda_0154.pdbqt,-5.33 (invalid),,
fda_0155.pdbqt,-3.94,,
fda_0156.pdbqt,-4.33,,
fda_0157.pdbqt,-4.49,,
fda_0158.pdbqt,-6.03,,
fda_0159.pdbqt,-5.42 (invalid),,
fda_0160.pdbqt,-3.75,,
fda_0161.pdbqt,-5.97,,
fda_0162.pdbqt,-6.92,,
fda_0163.pdbqt,-6.39 (invalid),,
fda_0164.pdbqt,-6.70 (invalid),,
fda_0165.pdbqt,-5.57 (invalid),,
fda_0166.pdbqt,-6.72 (invalid),,
fda_0167.pdbqt,-6.49,,
fda_0168.pdbqt,-6.34 (invalid),,
fda_0169.pdbqt,-6.46 (invalid),,
fda_0170.pdbqt,-7.13,-7.14,
fda_0171.pdbqt,-6.15 (invalid),,
fda_0172.pdbqt,-6.97,,
fda_0173.pdbqt,-5.81 (invalid),,
fda_0174.pdbqt,-5.97,,
fda_0175.pdbqt,-5.57 (invalid),,
fda_0176.pdbqt,-5.64 (invalid),,
fda_0177.pdbqt,-5.46 (invalid),,
fda_0178.pdbqt,-4.96 (invalid),,
fda_0179.pdbqt,-6.05 (invalid),,
fda_0180.pdbqt,-5.89 (invalid),,
fda_0181.pdbqt,-5.87 (invalid),,
fda_0182.pdbqt,-5.72 (invalid),,
fda_0183.pdbqt,-6.36 (invalid),,
fda_0184.pdbqt,-6.34 (invalid),,
fda_0185.pdbqt,-5.58,,
fda_0186.pdbqt,-7.55,-7.51,
fda_0187.pdbqt,-6.39 (invalid),,
fda_0188.pdbqt,-6.60 (invalid),,
