Ligand ID,Protein PDB ID,Best Score
fda_0001,10GS,-7.17
fda_0002,1M17,-7.7
fda_0002,10GS,-7.44
fda_0003,10GS,-6.99
fda_0003,1M17,-6.69
fda_0004,10GS,-8.35
fda_0008,10GS,-7.67
fda_0009,10GS,-7.77
fda_0011,1M17,-7.32
fda_0011,10GS,-6.82
fda_0012,10GS,-4.32
fda_0014,10GS,-5.57
fda_0014,1M17,-5.44
fda_0016,10GS,-7.62
fda_0016,1M17,-7.24
fda_0017,10GS,-7.49
fda_0017,1M17,-6.94
fda_0020,1M17,-7.43
fda_0020,10GS,-7.2
fda_0022,10GS,-7.14
fda_0022,1M17,-6.85
fda_0023,10GS,-7.22
fda_0023,1M17,-6.99
fda_0025,10GS,-7.95
fda_0025,1M17,-7.46
fda_0026,10GS,-8.11
fda_0027,10GS,-7.1
fda_0027,1M17,-6.86
fda_0029,10GS,-7.27
fda_0029,1M17,-7.04
fda_0031,10GS,-5.81
fda_0032,10GS,-6.82
fda_0034,1M17,-5.06
fda_0034,10GS,-4.76
fda_0036,10GS,-7.21
fda_0036,1M17,-7.02
fda_0038,10GS,-4.75
fda_0040,1M17,-5.18
fda_0043,1M17,-6.11
fda_0044,10GS,-8.16
fda_0046,10GS,-7.88
fda_0046,1M17,-7.84
fda_0047,10GS,-7.32
fda_0048,10GS,-7.47
fda_0049,1M17,-8.08
fda_0049,10GS,-7.11
fda_0051,10GS,-6.06
fda_0051,1M17,-5.77
fda_0053,10GS,-7.38
fda_0054,10GS,-6.78
fda_0054,1M17,-6.62
fda_0055,1M17,-6.28
fda_0055,10GS,-6.17
fda_0057,1M17,-7.63
fda_0057,10GS,-6.79
fda_0058,10GS,-7.18
fda_0059,10GS,-5.55
fda_0064,10GS,-6.21
fda_0065,10GS,-6.58
fda_0066,10GS,-7.49
fda_0066,1M17,-7.18
fda_0067,10GS,-7.55
fda_0068,10GS,-7.84
fda_0069,10GS,-6.86
fda_0069,1M17,-6.66
fda_0070,10GS,-6.98
fda_0071,10GS,-6.48
fda_0072,1M17,-6.14
fda_0072,10GS,-5.98
fda_0073,10GS,-6.92
fda_0075,10GS,-5.98
fda_0076,10GS,-6.01
fda_0077,10GS,-5.19
fda_0077,1M17,-4.72
fda_0078,10GS,-8.32
fda_0079,10GS,-8.32
fda_0079,1M17,-8.31
fda_0081,10GS,-7.34
fda_0082,10GS,-6.11
fda_0082,1M17,-5.74
fda_0083,10GS,-6.89
fda_0083,1M17,-6.78
fda_0084,1M17,-8.76
fda_0084,10GS,-7.73
fda_0086,10GS,-5.14
fda_0087,1M17,-6.58
fda_0087,10GS,-6.27
fda_0088,1M17,-6.55
fda_0088,10GS,-6.28
fda_0089,10GS,-5.98
fda_0090,10GS,-7.24
fda_0091,1M17,-8.44
fda_0091,10GS,-8.35
fda_0092,1M17,-6.37
fda_0092,10GS,-6.22
fda_0093,1M17,-6.86
fda_0093,10GS,-5.72
fda_0094,1M17,-7.86
fda_0094,10GS,-7.16
fda_0095,1M17,-8.14
fda_0095,10GS,-7.51
fda_0096,10GS,-7.64
fda_0096,1M17,-7.63
fda_0098,1M17,-6.75
fda_0098,10GS,-6.43
fda_0099,10GS,-7.36
fda_0100,10GS,-6.78
fda_0101,1M17,-7.83
fda_0101,10GS,-7.07
fda_0102,10GS,-4.78
fda_0102,1M17,-4.48
fda_0103,1M17,-7.37
fda_0103,10GS,-7.13
fda_0104,1M17,-8.35
fda_0104,10GS,-8.18
fda_0105,1M17,-6.97
fda_0105,10GS,-6.3
fda_0106,1M17,-8.2
fda_0106,10GS,-7.82
fda_0107,10GS,-8.31
fda_0107,1M17,-7.73
fda_0110,10GS,-6.39
fda_0111,10GS,-7.62
fda_0112,1M17,-7.93
fda_0112,10GS,-6.52
fda_0113,10GS,-6.38
fda_0113,1M17,-6.13
fda_0114,10GS,-7.33
fda_0114,1M17,-6.78
fda_0115,10GS,-6.58
fda_0116,10GS,-7.2
fda_0116,1M17,-7.07
fda_0117,10GS,-7.46
fda_0117,1M17,-7.14
fda_0118,1M17,-6.79
fda_0118,10GS,-6.44
fda_0123,1M17,-8.64
fda_0123,10GS,-8.12
fda_0124,10GS,-7.5
fda_0125,10GS,-8.42
fda_0125,1M17,-7.68
fda_0126,10GS,-8.34
fda_0126,1M17,-7.97
fda_0127,10GS,-7.95
fda_0128,10GS,-7.73
fda_0129,1M17,-8.06
fda_0129,10GS,-7.18
fda_0130,10GS,-7.93
fda_0133,10GS,-6.97
fda_0134,10GS,-7.62
fda_0135,1M17,-7.34
fda_0135,10GS,-7.16
fda_0136,10GS,-7.85
fda_0137,10GS,-6.69
fda_0138,10GS,-7.48
fda_0139,1M17,-7.96
fda_0139,10GS,-7.77
fda_0140,1M17,-8.45
fda_0140,10GS,-7.02
fda_0141,1M17,-7.86
fda_0141,10GS,-7.6
fda_0142,1M17,-5.75
fda_0142,10GS,-5.14
fda_0143,10GS,-7.88
fda_0143,1M17,-7.33
fda_0144,10GS,-7.61
fda_0145,1M17,-6.97
fda_0145,10GS,-6.83
fda_0146,1M17,-7.64
fda_0146,10GS,-7.2
fda_0147,10GS,-5.88
fda_0147,1M17,-5.7
fda_0148,1M17,-5.79
fda_0148,10GS,-5.4
fda_0149,10GS,-7.95
fda_0150,1M17,-8.91
fda_0150,10GS,-7.99
fda_0151,10GS,-7.52
fda_0151,1M17,-7.43
fda_0152,1M17,-8.25
fda_0152,10GS,-7.43
fda_0160,1M17,-6.75
fda_0160,10GS,-6.18
fda_0161,10GS,-6.22
fda_0162,10GS,-7.35
fda_0169,10GS,-7.4
fda_0170,1M17,-8.0
fda_0170,10GS,-7.15
fda_0171,10GS,-7.13
fda_0172,1M17,-8.12
fda_0172,10GS,-7.41
fda_0173,10GS,-7.44
fda_0173,1M17,-7.17
fda_0174,1M17,-7.17
fda_0174,10GS,-7.09
fda_0175,10GS,-5.07
fda_0176,1M17,-4.99
fda_0178,10GS,-5.83
fda_0179,10GS,-5.3
fda_0180,10GS,-5.21
fda_0181,10GS,-5.95
fda_0182,10GS,-5.82
fda_0186,10GS,-8.62
fda_0186,1M17,-7.67
fda_0190,1M17,-7.18
fda_0190,10GS,-7.14
fda_0195,10GS,-5.99
fda_0196,1M17,-8.54
fda_0196,10GS,-8.39
fda_0200,1M17,-7.61
fda_0200,10GS,-6.76
fda_0202,10GS,-6.99
fda_0203,10GS,-7.12
fda_0204,10GS,-7.05
fda_0206,10GS,-6.44
fda_0207,1M17,-7.09
fda_0207,10GS,-6.85
fda_0208,1M17,-7.0
fda_0208,10GS,-6.78
fda_0209,10GS,-6.89
fda_0210,10GS,-7.09
fda_0211,10GS,-7.58
fda_0212,10GS,-7.21
fda_0213,10GS,-7.52
fda_0214,1M17,-7.59
fda_0214,10GS,-7.46
fda_0215,1M17,-7.44
fda_0215,10GS,-7.41
fda_0216,10GS,-7.54
fda_0217,10GS,-7.01
fda_0217,1M17,-6.96
fda_0218,10GS,-6.54
fda_0219,10GS,-7.36
fda_0220,10GS,-7.75
fda_0221,10GS,-8.0
fda_0222,10GS,-8.26
fda_0223,10GS,-8.18
fda_0224,10GS,-8.18
fda_0225,10GS,-7.86
fda_0226,10GS,-8.14
fda_0226,1M17,-7.63
fda_0227,10GS,-7.84
fda_0228,10GS,-8.25
fda_0228,1M17,-7.2
fda_0229,10GS,-8.29
fda_0229,1M17,-7.82
fda_0230,1M17,-7.67
fda_0230,10GS,-7.61
fda_0231,10GS,-8.27
fda_0231,1M17,-7.46
fda_0232,10GS,-7.91
fda_0232,1M17,-7.64
fda_0233,10GS,-8.3
fda_0233,1M17,-7.34
fda_0234,10GS,-7.8
fda_0234,1M17,-7.25
fda_0235,10GS,-7.38
fda_0236,10GS,-7.83
fda_0237,10GS,-7.27
fda_0237,1M17,-6.93
fda_0238,1M17,-7.45
fda_0238,10GS,-6.88
fda_0239,10GS,-7.3
fda_0240,10GS,-6.92
fda_0241,10GS,-6.33
fda_0241,1M17,-5.95
fda_0242,1M17,-8.51
fda_0242,10GS,-7.46
fda_0243,1M17,-8.99
fda_0243,10GS,-7.1
fda_0244,1M17,-8.68
fda_0244,10GS,-7.34
fda_0245,10GS,-8.04
fda_0246,10GS,-7.05
fda_0247,10GS,-7.13
fda_0248,10GS,-7.8
fda_0249,10GS,-7.49
fda_0250,10GS,-6.9
fda_0251,10GS,-6.3
fda_0252,1M17,-6.92
fda_0252,10GS,-6.37
fda_0253,10GS,-7.0
fda_0254,10GS,-6.89
fda_0255,10GS,-8.03
fda_0256,10GS,-7.89
fda_0257,1M17,-5.86
fda_0257,10GS,-5.16
fda_0258,10GS,-8.17
fda_0259,10GS,-7.09
fda_0260,1M17,-5.96
fda_0260,10GS,-5.41
fda_0261,10GS,-7.2
fda_0262,10GS,-7.66
fda_0263,10GS,-7.47
fda_0263,1M17,-7.09
fda_0264,10GS,-8.16
fda_0265,10GS,-7.8
fda_0266,10GS,-7.65
fda_0267,10GS,-7.2
fda_0268,10GS,-7.76
fda_0269,10GS,-7.83
fda_0270,10GS,-8.06
fda_0271,10GS,-7.5
fda_0272,10GS,-7.76
fda_0273,1M17,-8.15
fda_0273,10GS,-7.49
fda_0274,1M17,-9.0
fda_0274,10GS,-8.43
fda_0275,10GS,-7.54
fda_0276,1M17,-8.01
fda_0276,10GS,-7.86
fda_0290,10GS,-8.93
fda_0291,10GS,-9.14
fda_0293,10GS,-7.95
fda_0343,1M17,-7.36
fda_0343,10GS,-6.44
fda_0344,10GS,-6.32
fda_0345,10GS,-6.71
fda_0346,10GS,-6.76
fda_0367,1M17,-7.29
fda_0367,10GS,-6.42
fda_0368,10GS,-6.82
fda_0369,10GS,-6.6
fda_0370,1M17,-7.03
fda_0370,10GS,-6.0
fda_0371,10GS,-6.71
fda_0373,10GS,-6.89
fda_0398,1M17,-5.91
fda_0398,10GS,-5.35
fda_0399,10GS,-5.79
fda_0400,1M17,-5.45
fda_0400,10GS,-5.31
fda_0401,10GS,-5.35
fda_0402,10GS,-6.18
fda_0403,10GS,-6.12
fda_0404,10GS,-6.16
fda_0405,10GS,-6.25
fda_0406,10GS,-6.71
fda_0407,1M17,-4.77
fda_0407,10GS,-4.75
fda_0408,1M17,-4.75
fda_0408,10GS,-4.64
fda_0409,10GS,-4.93
fda_0409,1M17,-4.79
fda_0410,1M17,-8.36
fda_0410,10GS,-7.91
fda_0411,10GS,-7.65
fda_0412,1M17,-8.23
fda_0412,10GS,-8.22
fda_0413,1M17,-8.11
fda_0413,10GS,-7.81
fda_0414,1M17,-7.99
fda_0414,10GS,-7.94
fda_0415,10GS,-7.86
fda_0416,1M17,-8.0
fda_0416,10GS,-7.72
fda_0417,1M17,-7.89
fda_0417,10GS,-7.42
fda_0418,10GS,-6.29
fda_0419,10GS,-6.25
fda_0421,10GS,-6.51
fda_0421,1M17,-6.12
fda_0423,10GS,-6.77
fda_0425,10GS,-8.44
fda_0426,10GS,-8.45
