severity,file_num,rdk_id,display_name,reason_codes,pubchem_record_title,rxnorm_generic_name,drugcentral_generic_name,sdf_title,inchikey,path
review,,rdk_0000000,cisapride,raw_quality_empty,,metoclopramide,,fda_3181,DCSUBABJRXZOMT-IRLDBZIGSA-O,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0000000.pdbqt
review,1,rdk_0000001,vinpocetine,raw_quality_equals_pubchem_iupac;raw_quality_iupac_like,"ethyl (15S,19S)-15-ethyl-1-aza-11-azoniapentacyclo[9.6.2.02,7.08,18.015,19]nonadeca-2,4,6,8(18),16-pentaene-17-carboxylate",carbimazole,,fda_3182,DDNCQMVWWZOMLN-IRLDBZIGSA-O,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0000001.pdbqt
review,2,rdk_0000002,dextromethorphan,raw_quality_equals_pubchem_iupac;raw_quality_iupac_like,"(1S,9S,10S)-4-methoxy-17-methyl-17-azoniatetracyclo[7.5.3.01,10.02,7]heptadeca-2(7),3,5-triene",,,fda_3183,MKXZASYAUGDDCJ-NJAFHUGGSA-O,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0000002.pdbqt
review,4,rdk_0000004,acrivastine,raw_quality_iupac_like,(E)-3-[6-[(E)-1-(4-methylphenyl)-3-pyrrolidin-1-ium-1-ylprop-1-enyl]-2-pyridinyl]prop-2-enoate,acrivastine,,fda_3185,PWACSDKDOHSSQD-IUTFFREVSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0000004.pdbqt
review,5,rdk_0000005,metoprolol,raw_quality_equals_pubchem_iupac;raw_quality_iupac_like,[(2R)-2-hydroxy-3-[4-(2-methoxyethyl)phenoxy]propyl]-propan-2-ylazanium,metoprolol,,fda_3186,IUBSYMUCCVWXPE-CQSZACIVSA-O,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0000005.pdbqt
review,6,rdk_0000006,imbun,brand_display_with_clean_pubchem_title,ibuprofen l-lysine,,,fda_3187,IHHXIUAEPKVVII-ZSCHJXSPSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0000006.pdbqt
review,7,rdk_0000007,mycophenolate mofetil,raw_quality_empty,,,,fda_3188,RTGDFNSFWBGLEC-SYZQJQIISA-O,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0000007.pdbqt
review,8,rdk_0000008,utapine,brand_display_with_clean_pubchem_title,Quetiapine fumarate,,,fda_3189,ZTHJULTYCAQOIJ-WXXKFALUSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0000008.pdbqt
review,9,rdk_0000009,femara,brand_display_with_clean_pubchem_title,letrozole,letrozole,,fda_3190,HPJKCIUCZWXJDR-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0000009.pdbqt
review,13,rdk_0000013,oprymea,brand_display_with_clean_pubchem_title,pramipexole hydrate dihydrochloride,,,fda_3194,APVQOOKHDZVJEX-QTPLPEIMSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0000013.pdbqt
review,14,rdk_0000014,labopol,brand_display_with_clean_pubchem_title,benazepril monohydrochloride,Carbopol 981,,fda_3195,VPSRQEHTHIMDQM-FKLPMGAJSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0000014.pdbqt
review,15,rdk_0000015,serad,brand_display_with_clean_pubchem_title,Sertraline hydrochloride,,,fda_3196,BLFQGGGGFNSJKA-XHXSRVRCSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0000015.pdbqt
review,16,rdk_0000016,mibefradil,raw_quality_empty,,fenbendazole,,fda_3197,HBNPJJILLOYFJU-VMPREFPWSA-O,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0000016.pdbqt
review,17,rdk_0000017,nedocromil,raw_quality_iupac_like,nedocromil(2-),nedocromil,,fda_3198,RQTOOFIXOKYGAN-UHFFFAOYSA-L,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0000017.pdbqt
review,18,rdk_0000018,candesartan,raw_quality_iupac_like,candesartan(2-),candesartan,,fda_3199,BSLSLQSFLOCXQQ-UHFFFAOYSA-L,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0000018.pdbqt
review,19,rdk_0000019,fentanyl,raw_quality_equals_pubchem_iupac;raw_quality_iupac_like,N-phenyl-N-[1-(2-phenylethyl)piperidin-1-ium-4-yl]propanamide,fentanyl,,fda_3200,PJMPHNIQZUBGLI-UHFFFAOYSA-O,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0000019.pdbqt
review,21,rdk_0000021,procyclidine,raw_quality_equals_pubchem_iupac;raw_quality_iupac_like,(1S)-1-cyclohexyl-1-phenyl-3-pyrrolidin-1-ium-1-ylpropan-1-ol,procyclidine,,fda_3202,WYDUSKDSKCASEF-LJQANCHMSA-O,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0000021.pdbqt
review,22,rdk_0000022,trihexyphenidyl,raw_quality_equals_pubchem_iupac;raw_quality_iupac_like,(1S)-1-cyclohexyl-1-phenyl-3-piperidin-1-ium-1-ylpropan-1-ol,procyclidine,,fda_3203,HWHLPVGTWGOCJO-HXUWFJFHSA-O,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0000022.pdbqt
review,23,rdk_0000023,salmeterol,raw_quality_empty,,ethyl ferulate,,fda_3204,GIIZNNXWQWCKIB-RUZDIDTESA-O,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0000023.pdbqt
review,24,rdk_0000024,halofantrine,raw_quality_equals_pubchem_iupac;raw_quality_iupac_like,"dibutyl-[(3R)-3-[1,3-dichloro-6-(trifluoromethyl)phenanthren-9-yl]-3-hydroxypropyl]azanium","2-propenoic acid, 3-hydroxypropyl ester",,fda_3205,FOHHNHSLJDZUGQ-RUZDIDTESA-O,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0000024.pdbqt
