rdk_id,file_num,old_display_name,new_display_name,inchikey,source,source_url,note
rdk_0000168,168,Aprindine,Aprindine,NZLBHDRPUJLHCE-UHFFFAOYSA-O,FDA GSRS,https://precision.fda.gov/uniisearch/srs/unii/5y48085p9q,Charged PubChem row maps to neutral Aprindine.
rdk_0000374,374,Carminic acid,"Carminic acid (2R,3R,4S,5S,6S stereoisomer)",DGQLVPJVXFOQEV-PNONGLCQSA-M,FDA GSRS + local PubChem IUPAC,https://precision.fda.gov/uniisearch/srs/unii/cid8z8n95n,FDA/GSRS base substance is carminic acid; parenthetical distinguishes the mapped stereoisomer from local PubChem IUPAC.
rdk_0000375,375,Carminic acid,"Carminic acid (2S,3R,4S,5S,6S stereoisomer)",DGQLVPJVXFOQEV-IEXVWJRESA-M,FDA GSRS + local PubChem IUPAC,https://precision.fda.gov/uniisearch/srs/unii/cid8z8n95n,FDA/GSRS base substance is carminic acid; parenthetical distinguishes the mapped stereoisomer from local PubChem IUPAC.
rdk_0000376,376,Carminic acid,"Carminic acid (2R,3S,4S,5S,6S stereoisomer)",DGQLVPJVXFOQEV-SJDBLHIDSA-M,FDA GSRS + local PubChem IUPAC,https://precision.fda.gov/uniisearch/srs/unii/cid8z8n95n,FDA/GSRS base substance is carminic acid; parenthetical distinguishes the mapped stereoisomer from local PubChem IUPAC.
rdk_0000377,377,Carminic acid,"Carminic acid (2S,3S,4S,5S,6S stereoisomer)",DGQLVPJVXFOQEV-ZJWSNNDOSA-M,FDA GSRS + local PubChem IUPAC,https://precision.fda.gov/uniisearch/srs/unii/cid8z8n95n,FDA/GSRS base substance is carminic acid; parenthetical distinguishes the mapped stereoisomer from local PubChem IUPAC.
rdk_0000385,385,Cladribine,Cladribine,PTOAARAWEBMLNO-HCWXCVPCSA-N,RxNorm/PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/Cladribine,PubChem identifier row with RxNorm generic name.
rdk_0000553,553,Estradiol valerate,Estradiol valerate,RSEPBGGWRJCQGY-XANJAXJYSA-N,FDA GSRS,https://precision.fda.gov/uniisearch/srs/unii/okg364o896,Neutral/parent form resolves to estradiol valerate.
rdk_0000697,697,Iopromide,Iopromide,DGAIEPBNLOQYER-RKDXNWHRSA-N,RxNorm/PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/Iopromide,PubChem identifier row with RxNorm generic name.
rdk_0000784,784,Metrizamide,Metrizamide,BAQCROVBDNBEEB-VHWNVDOGSA-N,RxNorm/PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/Metrizamide,Neutral/parent form resolves to metrizamide.
rdk_0000806,806,Montelukast,Montelukast,UCHDWCPVSPXUMX-OYLFJNDKSA-M,FDA GSRS,https://precision.fda.gov/uniisearch/srs/unii/mhm278sd3e,Charged montelukast row.
rdk_0000848,848,Nisoldipine,Nisoldipine,CMRUBVBRILWITQ-WMZOPIPTSA-N,RxNorm/PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/Nisoldipine,PubChem identifier row with RxNorm generic name.
rdk_0001003,1003,Silibinin,Silibinin,SEBFKMXJBCUCAI-BPUWIUIQSA-N,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/Silibinin,NCGC silibinin/silybin row.
rdk_0001026,1026,Streptozocin,Streptozocin,ZSJLQEPLLKMAKR-TYDWOXHJSA-N,RxNorm/PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/Streptozocin,PubChem identifier row with RxNorm generic name.
rdk_0001152,1152,Atropine oxide,Atropine oxide,HGWPFSBHDACWNL-QXUSFIETSA-N,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/Atropine-oxide,Exact structure is atropine N-oxide rather than scopolamine.
rdk_0001168,1168,Pipenzolate,Pipenzolate,WPUKUEMZZRVAKZ-NZQKXSOJSA-N,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/Pipenzolate,Exact structure is pipenzolate.
rdk_0001349,1349,Hexocyclium,Hexocyclium,ZRYHPQCHHOKSMD-HXUWFJFHSA-N,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/Hexocyclium,Formula-like PubChem candidate maps to hexocyclium.
rdk_0001425,1425,Cyclopenthiazide,Cyclopenthiazide,BKYKPTRYDKTTJY-CYBMUJFWSA-N,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/Cyclopenthiazide,NCGC row maps to cyclopenthiazide.
rdk_0001584,1584,Gliclazide,Gliclazide,BOVGTQGAOIONJV-CHWSQXEVSA-N,FDA GSRS,https://precision.fda.gov/uniisearch/srs/unii/g4px8c4hkv,NCGC row maps to gliclazide.
rdk_0001723,1723,Chocolate Brown HT,Chocolate Brown HT,ZMJZWRQKSFYRJU-FUEWEDNTSA-L,FDA GSRS,https://precision.fda.gov/uniisearch/srs/unii/RH77QMZ6Y1,FDA GSRS substance name; exact mapped structure is the free-acid/anion form.
rdk_0001834,1834,Sulfoxone,Sulfoxone,NEDPPCHNEOMTJV-UHFFFAOYSA-L,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/Sulfoxone,Charged/deprotonated sulfoxone row.
rdk_0001835,1835,Sulfoxone,Sulfoxone,NEDPPCHNEOMTJV-UHFFFAOYSA-L,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/Sulfoxone,Charged/deprotonated sulfoxone row.
rdk_0001836,1836,FD&C Yellow No. 5,FD&C Yellow No. 5,KPIQXPLWZCDIHI-ISLYRVAYSA-K,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/84842-94-4,FDA color additive name; mapped ligand is the tartrazine free-acid/anion form.
rdk_0002053,2053,Lobeline,Lobeline,MXYUKLILVYORSK-PWRODBHTSA-O,FDA GSRS,https://precision.fda.gov/uniisearch/srs/unii/d0p25s3p81,PubChem identifier row maps to lobeline.
rdk_0002146,2146,Nisoldipine,Nisoldipine,CMRUBVBRILWITQ-SJLPKXTDSA-N,RxNorm/PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/Nisoldipine,PubChem identifier row with RxNorm generic name.
rdk_0002363,2363,Fludrocortisone,Fludrocortisone,AAXVEMMRQDVLJB-WLNOOPTGSA-N,FDA GSRS,https://precision.fda.gov/uniisearch/srs/unii/U0476M545B,PubChem parent title resolves to fludrocortisone.
