rdk_id,inchikey_prefix,display_name,source,source_url,note
rdk_0000168,NZLBHDRPUJLHCE,Aprindine,FDA GSRS,https://precision.fda.gov/uniisearch/srs/unii/5y48085p9q,Charged PubChem row maps to neutral Aprindine.
rdk_0000374,DGQLVPJVXFOQEV,"Carminic acid (2R,3R,4S,5S,6S stereoisomer)",FDA GSRS + local PubChem IUPAC,https://precision.fda.gov/uniisearch/srs/unii/cid8z8n95n,FDA/GSRS base substance is carminic acid; parenthetical distinguishes the mapped stereoisomer from local PubChem IUPAC.
rdk_0000375,DGQLVPJVXFOQEV,"Carminic acid (2S,3R,4S,5S,6S stereoisomer)",FDA GSRS + local PubChem IUPAC,https://precision.fda.gov/uniisearch/srs/unii/cid8z8n95n,FDA/GSRS base substance is carminic acid; parenthetical distinguishes the mapped stereoisomer from local PubChem IUPAC.
rdk_0000376,DGQLVPJVXFOQEV,"Carminic acid (2R,3S,4S,5S,6S stereoisomer)",FDA GSRS + local PubChem IUPAC,https://precision.fda.gov/uniisearch/srs/unii/cid8z8n95n,FDA/GSRS base substance is carminic acid; parenthetical distinguishes the mapped stereoisomer from local PubChem IUPAC.
rdk_0000377,DGQLVPJVXFOQEV,"Carminic acid (2S,3S,4S,5S,6S stereoisomer)",FDA GSRS + local PubChem IUPAC,https://precision.fda.gov/uniisearch/srs/unii/cid8z8n95n,FDA/GSRS base substance is carminic acid; parenthetical distinguishes the mapped stereoisomer from local PubChem IUPAC.
rdk_0000385,PTOAARAWEBMLNO,Cladribine,RxNorm/PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/Cladribine,PubChem identifier row with RxNorm generic name.
rdk_0000553,RSEPBGGWRJCQGY,Estradiol valerate,FDA GSRS,https://precision.fda.gov/uniisearch/srs/unii/okg364o896,Neutral/parent form resolves to estradiol valerate.
rdk_0000697,DGAIEPBNLOQYER,Iopromide,RxNorm/PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/Iopromide,PubChem identifier row with RxNorm generic name.
rdk_0000784,BAQCROVBDNBEEB,Metrizamide,RxNorm/PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/Metrizamide,Neutral/parent form resolves to metrizamide.
rdk_0000806,UCHDWCPVSPXUMX,Montelukast,FDA GSRS,https://precision.fda.gov/uniisearch/srs/unii/mhm278sd3e,Charged montelukast row.
rdk_0000848,CMRUBVBRILWITQ,Nisoldipine,RxNorm/PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/Nisoldipine,PubChem identifier row with RxNorm generic name.
rdk_0001003,SEBFKMXJBCUCAI,Silibinin,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/Silibinin,NCGC silibinin/silybin row.
rdk_0001026,ZSJLQEPLLKMAKR,Streptozocin,RxNorm/PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/Streptozocin,PubChem identifier row with RxNorm generic name.
rdk_0001152,HGWPFSBHDACWNL,Atropine oxide,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/Atropine-oxide,Exact structure is atropine N-oxide rather than scopolamine.
rdk_0001168,WPUKUEMZZRVAKZ,Pipenzolate,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/Pipenzolate,Exact structure is pipenzolate.
rdk_0001349,ZRYHPQCHHOKSMD,Hexocyclium,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/Hexocyclium,Formula-like PubChem candidate maps to hexocyclium.
rdk_0001425,BKYKPTRYDKTTJY,Cyclopenthiazide,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/Cyclopenthiazide,NCGC row maps to cyclopenthiazide.
rdk_0001584,BOVGTQGAOIONJV,Gliclazide,FDA GSRS,https://precision.fda.gov/uniisearch/srs/unii/g4px8c4hkv,NCGC row maps to gliclazide.
rdk_0001723,ZMJZWRQKSFYRJU,Chocolate Brown HT,FDA GSRS,https://precision.fda.gov/uniisearch/srs/unii/RH77QMZ6Y1,FDA GSRS substance name; exact mapped structure is the free-acid/anion form.
rdk_0001834,NEDPPCHNEOMTJV,Sulfoxone,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/Sulfoxone,Charged/deprotonated sulfoxone row.
rdk_0001835,NEDPPCHNEOMTJV,Sulfoxone,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/Sulfoxone,Charged/deprotonated sulfoxone row.
rdk_0001836,KPIQXPLWZCDIHI,FD&C Yellow No. 5,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/84842-94-4,FDA color additive name; mapped ligand is the tartrazine free-acid/anion form.
rdk_0002053,MXYUKLILVYORSK,Lobeline,FDA GSRS,https://precision.fda.gov/uniisearch/srs/unii/d0p25s3p81,PubChem identifier row maps to lobeline.
rdk_0002146,CMRUBVBRILWITQ,Nisoldipine,RxNorm/PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/Nisoldipine,PubChem identifier row with RxNorm generic name.
rdk_0002363,AAXVEMMRQDVLJB,Fludrocortisone,FDA GSRS,https://precision.fda.gov/uniisearch/srs/unii/U0476M545B,PubChem parent title resolves to fludrocortisone.
rdk_0002371,NEDPPCHNEOMTJV,Sulfoxone,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/Sulfoxone,Charged/deprotonated sulfoxone row.
rdk_0002395,DGQLVPJVXFOQEV,"Carminic acid (2S,3S,4S,5S,6R stereoisomer)",FDA GSRS + local PubChem IUPAC,https://precision.fda.gov/uniisearch/srs/unii/cid8z8n95n,FDA/GSRS base substance is carminic acid; parenthetical distinguishes the mapped stereoisomer from local PubChem IUPAC.
rdk_0002396,DGQLVPJVXFOQEV,"Carminic acid (2R,3S,4S,5S,6R stereoisomer)",FDA GSRS + local PubChem IUPAC,https://precision.fda.gov/uniisearch/srs/unii/cid8z8n95n,FDA/GSRS base substance is carminic acid; parenthetical distinguishes the mapped stereoisomer from local PubChem IUPAC.
rdk_0002610,SKPLBLUECSEIFO,Chlorphenesin carbamate,PubChem/NIST,https://pubchem.ncbi.nlm.nih.gov/compound/Chlorphenesin-carbamate,NCGC row maps to chlorphenesin carbamate.
rdk_0004150,SVUJNSGGPUCLQZ,Tenofovir alafenamide fumarate,FDA GSRS,https://precision.fda.gov/uniisearch/srs/unii/fwf6q91tzo,GS-7340 hemifumarate is tenofovir alafenamide fumarate.
rdk_0004873,KUVIULQEHSCUHY,Beclomethasone dipropionate,DrugBank/PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/Beclomethasone-dipropionate,MFCD row maps to beclomethasone dipropionate.
