rank	severity	rule_id	pdb	ligand	message	count	recency	file	sample	hint
1	hard	ligprep.rdkit_valence	2025		RDKit sanitize/valence/kekulize error(s)	6		/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251007_191630.log	[RDKit] ERROR:[19:16:42] Explicit valence for atom # 18 He, 1, is greater than permitted	Quarantine; consider pre-sanitize with RDKit, fix aromaticity, add hydrogens earlier.
2	hard	dock.no_score	1T46	STI_A3.pdbqt	No score for 1 ligand(s)	1	2025-10-07 19:16:49	docked/1T46/protein.log	2025-10-07 19:16:49,038 - WARNING - No score for STI_A3.pdbqt	Check ligand_prep_status.tsv for this ligand; verify docking ran; inspect pocket center/grid logs.
3	hard	dock.no_score	1T46	STI_A3.sanitized.pdbqt	No score for 1 ligand(s)	1	2025-10-07 19:16:49	docked/1T46/protein.log	2025-10-07 19:16:49,039 - WARNING - No score for STI_A3.sanitized.pdbqt	Check ligand_prep_status.tsv for this ligand; verify docking ran; inspect pocket center/grid logs.
4	hard	dock.no_score	1T46	rdk_0000119.pdbqt	No score for 1 ligand(s)	1	2025-10-07 19:16:49	docked/1T46/protein.log	2025-10-07 19:16:49,075 - WARNING - No score for rdk_0000119.pdbqt	Check ligand_prep_status.tsv for this ligand; verify docking ran; inspect pocket center/grid logs.
5	hard	dock.no_score	1T46	rdk_0000043.pdbqt	No score for 1 ligand(s)	1	2025-10-07 19:16:49	docked/1T46/protein.log	2025-10-07 19:16:49,076 - WARNING - No score for rdk_0000043.pdbqt	Check ligand_prep_status.tsv for this ligand; verify docking ran; inspect pocket center/grid logs.
6	hard	dock.no_score	1T46	rdk_0000010.pdbqt	No score for 1 ligand(s)	1	2025-10-07 19:16:49	docked/1T46/protein.log	2025-10-07 19:16:49,076 - WARNING - No score for rdk_0000010.pdbqt	Check ligand_prep_status.tsv for this ligand; verify docking ran; inspect pocket center/grid logs.
7	hard	dock.no_score	1T46	rdk_0002911.pdbqt	No score for 1 ligand(s)	1	2025-10-07 19:16:49	docked/1T46/protein.log	2025-10-07 19:16:49,076 - WARNING - No score for rdk_0002911.pdbqt	Check ligand_prep_status.tsv for this ligand; verify docking ran; inspect pocket center/grid logs.
8	hard	dock.no_score	1T46	rdk_0000067.pdbqt	No score for 1 ligand(s)	1	2025-10-07 19:16:49	docked/1T46/protein.log	2025-10-07 19:16:49,077 - WARNING - No score for rdk_0000067.pdbqt	Check ligand_prep_status.tsv for this ligand; verify docking ran; inspect pocket center/grid logs.
9	hard	dock.no_score	1T46	rdk_0000123.pdbqt	No score for 1 ligand(s)	1	2025-10-07 19:16:49	docked/1T46/protein.log	2025-10-07 19:16:49,078 - WARNING - No score for rdk_0000123.pdbqt	Check ligand_prep_status.tsv for this ligand; verify docking ran; inspect pocket center/grid logs.
10	hard	dock.no_score	1T46	rdk_0000076.pdbqt	No score for 1 ligand(s)	1	2025-10-07 19:16:49	docked/1T46/protein.log	2025-10-07 19:16:49,079 - WARNING - No score for rdk_0000076.pdbqt	Check ligand_prep_status.tsv for this ligand; verify docking ran; inspect pocket center/grid logs.
11	hard	dock.no_score	1T46	rdk_0000125.pdbqt	No score for 1 ligand(s)	1	2025-10-07 19:16:49	docked/1T46/protein.log	2025-10-07 19:16:49,086 - WARNING - No score for rdk_0000125.pdbqt	Check ligand_prep_status.tsv for this ligand; verify docking ran; inspect pocket center/grid logs.
12	hard	dock.no_score	1T46	rdk_0000160.pdbqt	No score for 1 ligand(s)	1	2025-10-07 19:16:49	docked/1T46/protein.log	2025-10-07 19:16:49,088 - WARNING - No score for rdk_0000160.pdbqt	Check ligand_prep_status.tsv for this ligand; verify docking ran; inspect pocket center/grid logs.
13	hard	dock.no_score	2025	STI_A3.pdbqt	No score for 1 ligand(s)	1	2025-10-07 19:16:49	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251007_191630.log	2025-10-07 19:16:49,038 - WARNING - No score for STI_A3.pdbqt	Check ligand_prep_status.tsv for this ligand; verify docking ran; inspect pocket center/grid logs.
14	hard	dock.no_score	2025	STI_A3.sanitized.pdbqt	No score for 1 ligand(s)	1	2025-10-07 19:16:49	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251007_191630.log	2025-10-07 19:16:49,039 - WARNING - No score for STI_A3.sanitized.pdbqt	Check ligand_prep_status.tsv for this ligand; verify docking ran; inspect pocket center/grid logs.
15	hard	dock.no_score	2025	rdk_0000119.pdbqt	No score for 1 ligand(s)	1	2025-10-07 19:16:49	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251007_191630.log	Docking (bench_pocket1_single):   0%|          | 0/9 [00:00<?, ?ligand/s][A2025-10-07 19:16:49,075 - WARNING - No score for rdk_0000119.pdbqt	Check ligand_prep_status.tsv for this ligand; verify docking ran; inspect pocket center/grid logs.
16	hard	dock.no_score	2025	rdk_0000043.pdbqt	No score for 1 ligand(s)	1	2025-10-07 19:16:49	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251007_191630.log	2025-10-07 19:16:49,076 - WARNING - No score for rdk_0000043.pdbqt	Check ligand_prep_status.tsv for this ligand; verify docking ran; inspect pocket center/grid logs.
17	hard	dock.no_score	2025	rdk_0000010.pdbqt	No score for 1 ligand(s)	1	2025-10-07 19:16:49	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251007_191630.log	2025-10-07 19:16:49,076 - WARNING - No score for rdk_0000010.pdbqt	Check ligand_prep_status.tsv for this ligand; verify docking ran; inspect pocket center/grid logs.
18	hard	dock.no_score	2025	rdk_0002911.pdbqt	No score for 1 ligand(s)	1	2025-10-07 19:16:49	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251007_191630.log	2025-10-07 19:16:49,076 - WARNING - No score for rdk_0002911.pdbqt	Check ligand_prep_status.tsv for this ligand; verify docking ran; inspect pocket center/grid logs.
19	hard	dock.no_score	2025	rdk_0000067.pdbqt	No score for 1 ligand(s)	1	2025-10-07 19:16:49	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251007_191630.log	2025-10-07 19:16:49,077 - WARNING - No score for rdk_0000067.pdbqt	Check ligand_prep_status.tsv for this ligand; verify docking ran; inspect pocket center/grid logs.
20	hard	dock.no_score	2025	rdk_0000123.pdbqt	No score for 1 ligand(s)	1	2025-10-07 19:16:49	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251007_191630.log	2025-10-07 19:16:49,078 - WARNING - No score for rdk_0000123.pdbqt	Check ligand_prep_status.tsv for this ligand; verify docking ran; inspect pocket center/grid logs.
21	hard	dock.no_score	2025	rdk_0000076.pdbqt	No score for 1 ligand(s)	1	2025-10-07 19:16:49	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251007_191630.log	2025-10-07 19:16:49,079 - WARNING - No score for rdk_0000076.pdbqt	Check ligand_prep_status.tsv for this ligand; verify docking ran; inspect pocket center/grid logs.
22	hard	dock.no_score	2025	rdk_0000125.pdbqt	No score for 1 ligand(s)	1	2025-10-07 19:16:49	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251007_191630.log	2025-10-07 19:16:49,086 - WARNING - No score for rdk_0000125.pdbqt	Check ligand_prep_status.tsv for this ligand; verify docking ran; inspect pocket center/grid logs.
23	hard	dock.no_score	2025	rdk_0000160.pdbqt	No score for 1 ligand(s)	1	2025-10-07 19:16:49	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251007_191630.log	2025-10-07 19:16:49,088 - WARNING - No score for rdk_0000160.pdbqt	Check ligand_prep_status.tsv for this ligand; verify docking ran; inspect pocket center/grid logs.
24	hard	ligprep.tsv_failure	6WTN	RXT_A1204.sanitized.pdb	Ligand prep failed per TSV	1		prepped_ligands/6WTN/ligand_prep_status.tsv	TSV failure for RXT_A1204.sanitized.pdb: status=fail reason=postcheck_fail_or_small	Treat TSV as ground truth; review the 'reason' column and quarantine failing ligand.
25	hard	ligprep.tsv_failure	6WTN	RXT_A1204.sanitized	Ligand prep failed per TSV	1		prepped_ligands/6WTN/ligand_prep_status.tsv	TSV failure for RXT_A1204.sanitized: status=fail reason=postcheck_fail_or_small	Treat TSV as ground truth; review the 'reason' column and quarantine failing ligand.
26	soft	render.no_ctrl_rdk_paths	1T46		Screenshots skipped: no ctrl/rdk pose paths	1	2025-10-07 19:16:49	docked/1T46/protein.log	2025-10-07 19:16:49,093 - INFO - [render-skip] 1T46 bench_pocket1_single: no ctrl/rdk pose paths → no screenshots will be generated.	Why no valid poses? Correlate with ‘No score’/validation; ensure control selection produced a pose.
27	soft	render.no_ctrl_rdk_paths	2025		Screenshots skipped: no ctrl/rdk pose paths	1	2025-10-07 19:16:49	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251007_191630.log	2025-10-07 19:16:49,093 - INFO - [render-skip] 1T46 bench_pocket1_single: no ctrl/rdk pose paths → no screenshots will be generated.	Why no valid poses? Correlate with ‘No score’/validation; ensure control selection produced a pose.
28	soft	recentering.skipped_zero	1T46		Early recenter skipped: evaluated=0	1	2025-10-07 19:16:49	docked/1T46/protein.log	2025-10-07 19:16:49,090 - INFO - Early recenter skipped: evaluated=0 < threshold.	No evaluated poses to guide recentering; widen first-pass or ensure at least one pose completes.
29	soft	recentering.skipped_zero	2025		Early recenter skipped: evaluated=0	1	2025-10-07 19:16:49	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251007_191630.log	2025-10-07 19:16:49,090 - INFO - Early recenter skipped: evaluated=0 < threshold.	No evaluated poses to guide recentering; widen first-pass or ensure at least one pose completes.
30	soft	render.enqueue_none	1T46		Controls/RDK not enqueued	1	2025-10-07 19:16:48	docked/1T46/protein.log	2025-10-07 19:16:48,887 - INFO - [render-enqueue] 1T46 bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/1T46_NOLIG/receptor/1T46_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/1T46.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check ‘hint_count’ and control whitelist.
31	soft	render.enqueue_none	2025		Controls/RDK not enqueued	1	2025-10-07 19:16:48	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251007_191630.log	2025-10-07 19:16:48,887 - INFO - [render-enqueue] 1T46 bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/1T46_NOLIG/receptor/1T46_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/1T46.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check ‘hint_count’ and control whitelist.
