rank	severity	rule_id	pdb	ligand	message	count	recency	file	sample	hint	step	paths
1	hard	ligprep.rdkit_valence			RDKit sanitize/valence/kekulize error(s)	359		/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251014_181443.log	[18:15:31] Can't kekulize mol.  Unkekulized atoms: 19 20 21 22 23	Quarantine; consider pre-sanitize with RDKit, fix aromaticity, add hydrogens earlier.	ligprep.sanitize	
2	hard	ligprep.rdkit_valence	2HYY		RDKit sanitize/valence/kekulize error(s)	4		/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251014_181443.log	[18:15:32] sanitize [18:15:32] /stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/2HYY/ligands_raw/STI_A600.sanitized.pdb: 1 molecule converted	Quarantine; consider pre-sanitize with RDKit, fix aromaticity, add hydrogens earlier.	ligprep.sanitize	/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/2HYY/ligands_raw/STI_A600.pdb;/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/2HYY/ligands_raw/STI_C600.pdb;/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/2HYY/ligands_raw/STI_D600.pdb;/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/2HYY/ligands_raw/STI_B600.pdb;/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/2HYY/ligands_raw/STI_D600.sanitized.pdb;/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/2HYY/ligands_raw/STI_B600.sanitized.pdb;/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/2HYY/ligands_raw/STI_C600.sanitized.pdb;/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/2HYY/ligands_raw/STI_A600.sanitized.pdb;/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/2HYY/STI_A600.pdbqt;/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/2HYY/STI_D600.pdbqt;/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/2HYY/STI_C600.pdbqt;/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/2HYY/STI_B600.pdbqt;/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/2HYY/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/2HYY/protein.log;/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251014_181443.log
3	hard	ligprep.rdkit_valence	4XV2		RDKit sanitize/valence/kekulize error(s)	2		/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251014_181443.log	[18:15:33] sanitize [18:15:33] /stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/4XV2/ligands_raw/P06_A801.sanitized.pdb: ==============================	Quarantine; consider pre-sanitize with RDKit, fix aromaticity, add hydrogens earlier.	ligprep.sanitize	/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/4XV2/ligands_raw/P06_A801.pdb;/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/4XV2/ligands_raw/P06_B801.pdb;/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/4XV2/ligands_raw/P06_A801.sanitized.pdb;/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/4XV2/ligands_raw/P06_B801.sanitized.pdb;/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/4XV2/P06_A801.pdbqt;/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/4XV2/P06_B801.pdbqt;/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/4XV2/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/4XV2/protein.log;/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251014_181443.log
4	hard	ligprep.rdkit_valence	6O0L	AY7_A602.sanitized.protoB	RDKit sanitize/valence/kekulize error(s)	2		/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251014_181443.log	[18:15:33] sanitize [18:15:33] /stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/6O0L/ligands_raw/LBM_A301.sanitized.pdb: WARNING:root:[ligprep] OBabel -h failed (or no H added); attempting RDKit AddHs fallback: AY7_A602.sanitized.protoB.mol2	Quarantine; consider pre-sanitize with RDKit, fix aromaticity, add hydrogens earlier.	ligprep.sanitize	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/6O0L/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/6O0L/protein.log;/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251014_181443.log
5	hard	ligprep.rdkit_valence	2GQG		RDKit sanitize/valence/kekulize error(s)	2		/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251014_181443.log	[18:15:33] sanitize [18:15:33] /stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/2GQG/ligands_raw/1N1_A501.sanitized.pdb: 1 molecule converted	Quarantine; consider pre-sanitize with RDKit, fix aromaticity, add hydrogens earlier.	ligprep.sanitize	/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/2GQG/ligands_raw/GOL_B1.pdb;/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/2GQG/ligands_raw/1N1_A501.pdb;/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/2GQG/ligands_raw/1N1_B502.pdb;/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/2GQG/ligands_raw/1N1_A501.sanitized.pdb;/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/2GQG/ligands_raw/1N1_B502.sanitized.pdb;/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/2GQG/1N1_A501.pdbqt;/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/2GQG/1N1_B502.pdbqt;/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/2GQG/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/2GQG/protein.log;/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251014_181443.log
6	hard	ligprep.rdkit_valence	4U5J		RDKit sanitize/valence/kekulize error(s)	2		/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251014_181443.log	[18:15:33] sanitize [18:15:33] /stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/4U5J/ligands_raw/RXT_A601.sanitized.pdb: WARNING:root:[ligprep] addHs stderr (primary) 1 molecule converted	Quarantine; consider pre-sanitize with RDKit, fix aromaticity, add hydrogens earlier.	ligprep.sanitize	/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/4U5J/ligands_raw/RXT_A601.pdb;/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/4U5J/ligands_raw/RXT_B601.pdb;/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/4U5J/ligands_raw/RXT_A601.sanitized.pdb;/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/4U5J/ligands_raw/RXT_B601.sanitized.pdb;/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/4U5J/RXT_B601.pdbqt;/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/4U5J/RXT_A601.pdbqt;/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/4U5J/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/4U5J/protein.log;/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251014_181443.log
7	hard	ligprep.rdkit_valence	6U4J		RDKit sanitize/valence/kekulize error(s)	2		/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251014_181443.log	[18:15:34] sanitize [18:15:34] /stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/6U4J/ligands_raw/PWV_A503.sanitized.pdb: [18:15:34] /stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/2HYY/ligands_raw/STI_B600.sanitized.pdb: Warning - no explicit hydrogens in mol2 file but needed for formal charge estimation.	Quarantine; consider pre-sanitize with RDKit, fix aromaticity, add hydrogens earlier.	ligprep.sanitize	/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/6U4J/ligands_raw/PWV_A503.pdb;/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/6U4J/ligands_raw/FLC_B503.pdb;/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/6U4J/ligands_raw/PWV_B504.pdb;/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/6U4J/ligands_raw/FLC_B503.sanitized.pdb;/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/6U4J/ligands_raw/PWV_B504.sanitized.pdb;/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/6U4J/ligands_raw/PWV_A503.sanitized.pdb;/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/6U4J/PWV_A503.pdbqt;/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/6U4J/PWV_B504.pdbqt;/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/6U4J/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/6U4J/protein.log;/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251014_181443.log
8	hard	ligprep.rdkit_valence	3ZBF		RDKit sanitize/valence/kekulize error(s)	1		/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251014_181443.log	[18:15:32] sanitize [18:15:32] /stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/3ZBF/ligands_raw/VGH_A3000.sanitized.pdb: WARNING:root:[obabel primary stderr] 1 molecule converted	Quarantine; consider pre-sanitize with RDKit, fix aromaticity, add hydrogens earlier.	ligprep.sanitize	/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/3ZBF/ligands_raw/VGH_A3000.pdb;/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/3ZBF/ligands_raw/VGH_A3000.sanitized.pdb;/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/3ZBF/VGH_A3000.pdbqt;/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/3ZBF/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/3ZBF/protein.log;/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251014_181443.log
9	hard	ligprep.rdkit_valence	2XP2		RDKit sanitize/valence/kekulize error(s)	1		/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251014_181443.log	[18:15:32] sanitize [18:15:32] /stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/2XP2/ligands_raw/VGH_A9000.sanitized.pdb: [18:15:32] Explicit valence for atom # 0 C, 5, is greater than permitted	Quarantine; consider pre-sanitize with RDKit, fix aromaticity, add hydrogens earlier.	ligprep.sanitize	/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/2XP2/ligands_raw/VGH_A9000.pdb;/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/2XP2/ligands_raw/VGH_A9000.sanitized.pdb;/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/2XP2/VGH_A9000.pdbqt;/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/2XP2/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/2XP2/protein.log;/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251014_181443.log
10	hard	ligprep.rdkit_valence	3LXK		RDKit sanitize/valence/kekulize error(s)	1		/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251014_181443.log	[18:15:32] sanitize [18:15:32] /stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/3LXK/ligands_raw/MI1_A1125.sanitized.pdb: WARNING:root:[obabel primary stderr] 1 molecule converted	Quarantine; consider pre-sanitize with RDKit, fix aromaticity, add hydrogens earlier.	ligprep.sanitize	/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/3LXK/ligands_raw/MI1_A1125.pdb;/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/3LXK/ligands_raw/MI1_A1125.sanitized.pdb;/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/3LXK/MI1_A1125.pdbqt;/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/3LXK/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/3LXK/protein.log;/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251014_181443.log
