pdb_id,variant,ph,engine,stage,stage_dir,ligand_file,posebusters_pass,posebusters_reason,mol_pred_loaded,sanitization,passes_valence_checks,internal_steric_clash,bond_lengths,bond_angles,most_extreme_clash_protein,most_extreme_relative_distance_protein
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,actives_final_00001_gnina_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,actives_final_00002_gnina_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,actives_final_00003_gnina_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,actives_final_00004_gnina_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,actives_final_00005_gnina_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00001_gnina_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00002_gnina_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00003_gnina_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00004_gnina_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00005_gnina_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00006_gnina_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00007_gnina_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00008_gnina_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00009_gnina_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00010_gnina_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00011_gnina_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00012_gnina_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00013_gnina_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00014_gnina_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00015_gnina_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00016_gnina_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00017_gnina_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00018_gnina_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00019_gnina_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00020_gnina_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00021_gnina_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
