pdb_id,variant,ph,engine,stage,stage_dir,ligand_file,posebusters_pass,posebusters_reason,mol_pred_loaded,sanitization,passes_valence_checks,internal_steric_clash,bond_lengths,bond_angles,most_extreme_clash_protein,most_extreme_relative_distance_protein
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,actives_final_00001.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,actives_final_00002.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,actives_final_00003.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,actives_final_00004.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,actives_final_00005.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00001.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00002.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00003.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00004.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00005.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00006.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00007.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00008.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00009.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00010.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00011.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00012.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00013.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00014.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00015.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00016.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00017.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00018.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00019.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00020.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00021.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00022.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00023.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00024.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00025.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00026.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00027.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00028.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00029.sdf,False,missing_receptor,False,False,False,False,False,False,False,
