pdb_id,variant,ph,engine,stage,stage_dir,ligand_file,posebusters_pass
EX4M,APO,pH7_0,gnina,stage2,gnina_stage2,actives_final_00004_gnina_stage2.sdf,False
EX4M,APO,pH7_0,gnina,stage2,gnina_stage2,decoys_final_00016_gnina_stage2.sdf,False
EX4M,APO,pH7_0,gnina,stage3,gnina_stage3,EX4M.sanitized_gnina_stage3.sdf,False
EX4M,APO,pH7_0,gnina,stage3,gnina_stage3,KEU_A510.sanitized_gnina_stage3.sdf,False
EX4M,APO,pH7_0,gnina,stage3,gnina_stage3,KEU_B610.sanitized_gnina_stage3.sdf,False
EX4M,APO,pH7_0,gnina,stage3,gnina_stage3,decoys_final_00016_gnina_stage3.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,actives_final_00001_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,actives_final_00002_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,actives_final_00003_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,actives_final_00004_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,actives_final_00005_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00001_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00002_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00003_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00004_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00005_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00006_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00007_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00008_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00009_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00010_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00011_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00012_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00013_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00014_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00015_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00016_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00017_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00018_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00019_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00020_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00021_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00022_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00023_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00024_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00025_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00026_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00027_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00028_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00029_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00030_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00031_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00032_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00033_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00034_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00035_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00036_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00037_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00038_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00039_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00040_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00041_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00042_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00043_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00044_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00045_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00046_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00047_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00048_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00049_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00050_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,actives_final_00001_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,actives_final_00002_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,actives_final_00003_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,actives_final_00004_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,actives_final_00005_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00001_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00002_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00003_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00004_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00005_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00006_gnina_stage1.sdf,False
