pdb_id,variant,ph,engine,stage,stage_dir,ligand_file,posebusters_pass,posebusters_reason,mol_pred_loaded,sanitization,passes_valence_checks,internal_steric_clash,bond_lengths,bond_angles,most_extreme_clash_protein,most_extreme_relative_distance_protein
EX4M,APO,pH7_0,vina,stage1,stage1,actives_final_00001_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,vina,stage1,stage1,actives_final_00002_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,vina,stage1,stage1,actives_final_00003_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,vina,stage1,stage1,actives_final_00004_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,vina,stage1,stage1,actives_final_00005_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00001_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00002_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00003_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00004_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00005_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00006_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00007_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00008_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00009_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00010_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00011_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00012_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00013_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00014_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00015_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00016_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00017_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
EX4M,APO,pH7_0,vina,stage1,stage1,decoys_final_00018_stage1.sdf,False,missing_receptor,False,False,False,False,False,False,False,
