file,molecule,position,mol_pred_loaded,mol_cond_loaded,sanitization,inchi_convertible,all_atoms_connected,no_radicals,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,internal_energy,protein-ligand_maximum_distance,minimum_distance_to_protein,minimum_distance_to_organic_cofactors,minimum_distance_to_inorganic_cofactors,minimum_distance_to_waters,volume_overlap_with_protein,volume_overlap_with_organic_cofactors,volume_overlap_with_inorganic_cofactors,volume_overlap_with_waters,mol_true_loaded,passes_valence_checks,passes_kekulization,no_radicals_before_sanitization,number_bonds,shortest_bond_relative_length,longest_bond_relative_length,number_short_outlier_bonds,number_long_outlier_bonds,number_angles,most_extreme_relative_angle,number_outlier_angles,number_noncov_pairs,shortest_noncovalent_relative_distance,number_clashes,number_valid_bonds,number_valid_angles,number_valid_noncov_pairs,number_aromatic_rings_checked,number_aromatic_rings_pass,aromatic_ring_maximum_distance_from_plane,number_non-aromatic_rings_checked,number_non-aromatic_rings_pass,non-aromatic_ring_maximum_distance_from_plane,number_double_bonds_checked,number_double_bonds_pass,double_bond_maximum_distance_from_plane,num_h_added,mol_pred_energy,ensemble_avg_energy,energy_ratio,smallest_distance_protein,num_pairwise_clashes_protein,most_extreme_ligand_atom_id_protein,most_extreme_protein_atom_id_protein,most_extreme_ligand_element_protein,most_extreme_protein_element_protein,most_extreme_ligand_vdw_protein,most_extreme_protein_vdw_protein,most_extreme_sum_radii_protein,most_extreme_distance_protein,most_extreme_sum_radii_scaled_protein,most_extreme_relative_distance_protein,most_extreme_clash_protein,smallest_distance_organic_cofactors,not_too_far_away_organic_cofactors,num_pairwise_clashes_organic_cofactors,most_extreme_ligand_atom_id_organic_cofactors,most_extreme_protein_atom_id_organic_cofactors,most_extreme_ligand_element_organic_cofactors,most_extreme_protein_element_organic_cofactors,most_extreme_ligand_vdw_organic_cofactors,most_extreme_protein_vdw_organic_cofactors,most_extreme_sum_radii_organic_cofactors,most_extreme_distance_organic_cofactors,most_extreme_sum_radii_scaled_organic_cofactors,most_extreme_relative_distance_organic_cofactors,most_extreme_clash_organic_cofactors,smallest_distance_inorganic_cofactors,not_too_far_away_inorganic_cofactors,num_pairwise_clashes_inorganic_cofactors,most_extreme_ligand_atom_id_inorganic_cofactors,most_extreme_protein_atom_id_inorganic_cofactors,most_extreme_ligand_element_inorganic_cofactors,most_extreme_protein_element_inorganic_cofactors,most_extreme_ligand_vdw_inorganic_cofactors,most_extreme_protein_vdw_inorganic_cofactors,most_extreme_sum_radii_inorganic_cofactors,most_extreme_distance_inorganic_cofactors,most_extreme_sum_radii_scaled_inorganic_cofactors,most_extreme_relative_distance_inorganic_cofactors,most_extreme_clash_inorganic_cofactors,smallest_distance_waters,not_too_far_away_waters,num_pairwise_clashes_waters,most_extreme_ligand_atom_id_waters,most_extreme_protein_atom_id_waters,most_extreme_ligand_element_waters,most_extreme_protein_element_waters,most_extreme_ligand_vdw_waters,most_extreme_protein_vdw_waters,most_extreme_sum_radii_waters,most_extreme_distance_waters,most_extreme_sum_radii_scaled_waters,most_extreme_relative_distance_waters,most_extreme_clash_waters,volume_overlap_protein,volume_overlap_organic_cofactors,volume_overlap_inorganic_cofactors,volume_overlap_waters,ligand_file,pdb_id,variant,ph,engine,stage,stage_dir,posebusters_pass
/home/michael/atlas/code/protein_automation/post_docked/full_fast_consenuss/EX4M/HOLO/pH7_0/ledock_stage1/actives_final_00001.sdf,/home/michael/atlas/code/protein_automation/post_docked/full_fast_consenuss/EX4M/HOLO/pH7_0/ledock_stage1/actives_final_00001_dock001.pdb,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,35.0,0.9543700971745588,1.0081450330745136,0.0,0.0,48.0,1.06241201915783,0.0,445.0,0.8339885198317019,0.0,35.0,48.0,445.0,2.0,2.0,0.0008330392801242,0.0,0.0,,0.0,0.0,,18.0,239.89222779782716,53.46854947902192,4.486604370891854,2.5519666925726106,0,32,2133.0,N,O,1.6,1.55,3.1500000000000004,2.5519666925726106,3.1500000000000004,0.8101481563722572,False,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,0.0305919745729042,,,,actives_final_00001.sdf,EX4M,HOLO,pH7_0,ledock,stage1,ledock_stage1,False
/home/michael/atlas/code/protein_automation/post_docked/full_fast_consenuss/EX4M/HOLO/pH7_0/ledock_stage1/actives_final_00002.sdf,/home/michael/atlas/code/protein_automation/post_docked/full_fast_consenuss/EX4M/HOLO/pH7_0/ledock_stage1/actives_final_00002_dock001.pdb,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,34.0,0.9539783282970732,1.0456932454609322,0.0,0.0,47.0,1.0627722096783765,0.0,415.0,0.9898153891221008,0.0,34.0,47.0,415.0,2.0,2.0,0.0022651524212136,0.0,0.0,,0.0,0.0,,18.0,222.39051603281987,77.85107713533705,2.8566145031778314,2.629036325348132,0,21,1643.0,C,O,1.7,1.55,3.25,2.7236637090507316,3.25,0.8380503720156097,False,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,0.0168502056521162,,,,actives_final_00002.sdf,EX4M,HOLO,pH7_0,ledock,stage1,ledock_stage1,False
/home/michael/atlas/code/protein_automation/post_docked/full_fast_consenuss/EX4M/HOLO/pH7_0/ledock_stage1/actives_final_00003.sdf,/home/michael/atlas/code/protein_automation/post_docked/full_fast_consenuss/EX4M/HOLO/pH7_0/ledock_stage1/actives_final_00003_dock001.pdb,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,35.0,0.9537449246960558,1.0460286353062431,0.0,0.0,48.0,1.0628220542944922,0.0,445.0,0.9897069161627252,0.0,35.0,48.0,445.0,2.0,2.0,0.0022269322442707,0.0,0.0,,0.0,0.0,,20.0,193.65340383171025,80.11424020297865,2.4172157576613977,2.527438624378444,0,28,2133.0,N,O,1.6,1.55,3.1500000000000004,2.527438624378444,3.1500000000000004,0.8023614680566489,False,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,0.0118320610687022,,,,actives_final_00003.sdf,EX4M,HOLO,pH7_0,ledock,stage1,ledock_stage1,False
/home/michael/atlas/code/protein_automation/post_docked/full_fast_consenuss/EX4M/HOLO/pH7_0/ledock_stage1/actives_final_00004.sdf,/home/michael/atlas/code/protein_automation/post_docked/full_fast_consenuss/EX4M/HOLO/pH7_0/ledock_stage1/actives_final_00004_dock001.pdb,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,35.0,0.9540398237939636,1.0078150882582602,0.0,0.0,48.0,1.0630242992092227,0.0,445.0,0.9903019621547612,0.0,35.0,48.0,445.0,2.0,2.0,0.0022077412197289,0.0,0.0,,0.0,0.0,,22.0,154.54290820245285,54.38967967051629,2.841401330889395,2.775882382234522,0,30,2186.0,O,N,1.55,1.6,3.1500000000000004,2.775882382234522,3.1500000000000004,0.8812325022966736,False,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,0.0101628664495114,,,,actives_final_00004.sdf,EX4M,HOLO,pH7_0,ledock,stage1,ledock_stage1,False
/home/michael/atlas/code/protein_automation/post_docked/full_fast_consenuss/EX4M/HOLO/pH7_0/ledock_stage1/actives_final_00005.sdf,/home/michael/atlas/code/protein_automation/post_docked/full_fast_consenuss/EX4M/HOLO/pH7_0/ledock_stage1/actives_final_00005_dock001.pdb,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,35.0,0.9533055609491512,1.015529060388055,0.0,0.0,48.0,1.0624489149766625,0.0,445.0,0.9912373026838066,0.0,35.0,48.0,445.0,2.0,2.0,0.0014426745649083,0.0,0.0,,0.0,0.0,,22.0,183.9972703519521,54.38967967051629,3.3829445487926613,2.458719178759546,0,12,1349.0,O,O,1.55,1.55,3.1,2.458719178759546,3.1,0.7931352189546923,False,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,0.0163678877630553,,,,actives_final_00005.sdf,EX4M,HOLO,pH7_0,ledock,stage1,ledock_stage1,False
/home/michael/atlas/code/protein_automation/post_docked/full_fast_consenuss/EX4M/HOLO/pH7_0/ledock_stage1/decoys_final_00001.sdf,/home/michael/atlas/code/protein_automation/post_docked/full_fast_consenuss/EX4M/HOLO/pH7_0/ledock_stage1/decoys_final_00001_dock001.pdb,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,26.0,0.968115007335659,1.0188118925419267,0.0,0.0,39.0,1.0354399800457978,0.0,235.0,1.0092719293211003,0.0,26.0,39.0,235.0,0.0,0.0,,10.0,10.0,0.2556001328210319,0.0,0.0,,12.0,191.18720245546012,66.0971538832044,2.892517925859463,2.535366640152858,0,8,2084.0,O,N,1.55,1.6,3.1500000000000004,2.535366640152858,3.1500000000000004,0.8048782984612247,False,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,0.0311236152628802,,,,decoys_final_00001.sdf,EX4M,HOLO,pH7_0,ledock,stage1,ledock_stage1,False
/home/michael/atlas/code/protein_automation/post_docked/full_fast_consenuss/EX4M/HOLO/pH7_0/ledock_stage1/decoys_final_00002.sdf,/home/michael/atlas/code/protein_automation/post_docked/full_fast_consenuss/EX4M/HOLO/pH7_0/ledock_stage1/decoys_final_00002_dock001.pdb,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,25.0,0.9576117106290568,1.0314918788070346,0.0,0.0,38.0,1.0727941115101214,0.0,190.0,0.9783018479606408,0.0,25.0,38.0,190.0,1.0,1.0,0.000208432762102,0.0,0.0,,0.0,0.0,,10.0,217.9538124491563,78.13527589058133,2.789441900152414,1.81177178474553,4,20,2188.0,O,O,1.55,1.55,3.1,1.81177178474553,3.1,0.5844425112082354,True,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,0.0756286632633768,,,,decoys_final_00002.sdf,EX4M,HOLO,pH7_0,ledock,stage1,ledock_stage1,True
/home/michael/atlas/code/protein_automation/post_docked/full_fast_consenuss/EX4M/HOLO/pH7_0/ledock_stage1/decoys_final_00003.sdf,/home/michael/atlas/code/protein_automation/post_docked/full_fast_consenuss/EX4M/HOLO/pH7_0/ledock_stage1/decoys_final_00003_dock001.pdb,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,25.0,0.8783700179050172,1.045863359898526,0.0,0.0,38.0,1.0497822139604067,0.0,190.0,0.9833635230908024,0.0,25.0,38.0,190.0,1.0,1.0,0.0021182259779604,0.0,0.0,,0.0,0.0,,13.0,158.5209210101475,67.40921558643936,2.351620911637444,2.5776566877689477,0,13,1368.0,O,N,1.55,1.6,3.1500000000000004,2.5776566877689473,3.1500000000000004,0.8183037104028403,False,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,0.0231352952063668,,,,decoys_final_00003.sdf,EX4M,HOLO,pH7_0,ledock,stage1,ledock_stage1,False
/home/michael/atlas/code/protein_automation/post_docked/full_fast_consenuss/EX4M/HOLO/pH7_0/ledock_stage1/decoys_final_00004.sdf,/home/michael/atlas/code/protein_automation/post_docked/full_fast_consenuss/EX4M/HOLO/pH7_0/ledock_stage1/decoys_final_00004_dock001.pdb,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,36.0,0.8397196962010869,1.0200960753727364,0.0,0.0,56.0,1.1385524578537964,0.0,436.0,0.9572214035407092,0.0,36.0,56.0,436.0,4.0,4.0,0.0027413388082607,0.0,0.0,,0.0,0.0,,15.0,325.0764321260825,49.86830123132483,6.518698734455494,1.3977818141612777,4,34,2133.0,O,O,1.55,1.55,3.1,1.3977818141612777,3.1,0.45089735940686376,True,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,0.0651859639900118,,,,decoys_final_00004.sdf,EX4M,HOLO,pH7_0,ledock,stage1,ledock_stage1,True
/home/michael/atlas/code/protein_automation/post_docked/full_fast_consenuss/EX4M/HOLO/pH7_0/ledock_stage1/decoys_final_00005.sdf,/home/michael/atlas/code/protein_automation/post_docked/full_fast_consenuss/EX4M/HOLO/pH7_0/ledock_stage1/decoys_final_00005_dock001.pdb,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,31.0,0.8399348740008846,1.0525786347221424,0.0,0.0,48.0,1.1384305269081851,0.0,327.0,0.9370293381654924,0.0,31.0,48.0,327.0,3.0,3.0,0.0025120115608491,0.0,0.0,,0.0,0.0,,13.0,315.375703090273,43.78560576966704,7.20272558861691,2.539312899191432,0,14,1813.0,N,C,1.6,1.7,3.3,2.6459096734393635,3.3,0.8017908101331405,False,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,0.0184277009956902,,,,decoys_final_00005.sdf,EX4M,HOLO,pH7_0,ledock,stage1,ledock_stage1,False
