pdb_id,variant,ph,engine,stage,stage_dir,ligand_file,posebusters_pass,posebusters_reason,mol_pred_loaded,sanitization,passes_valence_checks,internal_steric_clash,bond_lengths,bond_angles,most_extreme_clash_protein,most_extreme_relative_distance_protein,file,molecule,position,mol_cond_loaded,inchi_convertible,all_atoms_connected,no_radicals,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,internal_energy,protein-ligand_maximum_distance,minimum_distance_to_protein,minimum_distance_to_organic_cofactors,minimum_distance_to_inorganic_cofactors,minimum_distance_to_waters,volume_overlap_with_protein,volume_overlap_with_organic_cofactors,volume_overlap_with_inorganic_cofactors,volume_overlap_with_waters,mol_true_loaded,passes_kekulization,no_radicals_before_sanitization,number_bonds,shortest_bond_relative_length,longest_bond_relative_length,number_short_outlier_bonds,number_long_outlier_bonds,number_angles,most_extreme_relative_angle,number_outlier_angles,number_noncov_pairs,shortest_noncovalent_relative_distance,number_clashes,number_valid_bonds,number_valid_angles,number_valid_noncov_pairs,number_aromatic_rings_checked,number_aromatic_rings_pass,aromatic_ring_maximum_distance_from_plane,number_non-aromatic_rings_checked,number_non-aromatic_rings_pass,non-aromatic_ring_maximum_distance_from_plane,number_double_bonds_checked,number_double_bonds_pass,double_bond_maximum_distance_from_plane,num_h_added,mol_pred_energy,ensemble_avg_energy,energy_ratio,smallest_distance_protein,num_pairwise_clashes_protein,most_extreme_ligand_atom_id_protein,most_extreme_protein_atom_id_protein,most_extreme_ligand_element_protein,most_extreme_protein_element_protein,most_extreme_ligand_vdw_protein,most_extreme_protein_vdw_protein,most_extreme_sum_radii_protein,most_extreme_distance_protein,most_extreme_sum_radii_scaled_protein,smallest_distance_organic_cofactors,not_too_far_away_organic_cofactors,num_pairwise_clashes_organic_cofactors,most_extreme_ligand_atom_id_organic_cofactors,most_extreme_protein_atom_id_organic_cofactors,most_extreme_ligand_element_organic_cofactors,most_extreme_protein_element_organic_cofactors,most_extreme_ligand_vdw_organic_cofactors,most_extreme_protein_vdw_organic_cofactors,most_extreme_sum_radii_organic_cofactors,most_extreme_distance_organic_cofactors,most_extreme_sum_radii_scaled_organic_cofactors,most_extreme_relative_distance_organic_cofactors,most_extreme_clash_organic_cofactors,smallest_distance_inorganic_cofactors,not_too_far_away_inorganic_cofactors,num_pairwise_clashes_inorganic_cofactors,most_extreme_ligand_atom_id_inorganic_cofactors,most_extreme_protein_atom_id_inorganic_cofactors,most_extreme_ligand_element_inorganic_cofactors,most_extreme_protein_element_inorganic_cofactors,most_extreme_ligand_vdw_inorganic_cofactors,most_extreme_protein_vdw_inorganic_cofactors,most_extreme_sum_radii_inorganic_cofactors,most_extreme_distance_inorganic_cofactors,most_extreme_sum_radii_scaled_inorganic_cofactors,most_extreme_relative_distance_inorganic_cofactors,most_extreme_clash_inorganic_cofactors,smallest_distance_waters,not_too_far_away_waters,num_pairwise_clashes_waters,most_extreme_ligand_atom_id_waters,most_extreme_protein_atom_id_waters,most_extreme_ligand_element_waters,most_extreme_protein_element_waters,most_extreme_ligand_vdw_waters,most_extreme_protein_vdw_waters,most_extreme_sum_radii_waters,most_extreme_distance_waters,most_extreme_sum_radii_scaled_waters,most_extreme_relative_distance_waters,most_extreme_clash_waters,volume_overlap_protein,volume_overlap_organic_cofactors,volume_overlap_inorganic_cofactors,volume_overlap_waters
EX4M,APO,pH7_0,gnina,stage2,gnina_stage2,actives_final_00004_gnina_stage2.sdf,False,missing_receptor,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EX4M,APO,pH7_0,gnina,stage2,gnina_stage2,decoys_final_00016_gnina_stage2.sdf,False,missing_receptor,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EX4M,HOLO,pH7_0,gnina,stage2,gnina_stage2,actives_final_00004_gnina_stage2.sdf,False,,True,True,True,True,True,True,False,0.8884650917164889,/home/michael/atlas/code/protein_automation/post_docked/full_fast_consenuss/EX4M/HOLO/pH7_0/gnina_stage2/actives_final_00004_gnina_stage2.sdf,CHEMBL117353,0.0,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,35.0,0.9537275748506292,1.0078888600505056,0.0,0.0,48.0,1.062671897537547,0.0,445.0,0.9901381566928026,0.0,35.0,48.0,445.0,2.0,2.0,0.0018190217317756,0.0,0.0,,0.0,0.0,,22.0,204.3355217750417,54.38967967051629,3.7568804047545914,2.7986650389069405,0,28,2133.0,N,O,1.6,1.55,3.1500000000000004,2.7986650389069405,3.1500000000000004,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,0.0109218567156416,,,
EX4M,HOLO,pH7_0,gnina,stage2,gnina_stage2,decoys_final_00016_gnina_stage2.sdf,False,,True,True,True,True,True,True,False,0.8239684687298251,/home/michael/atlas/code/protein_automation/post_docked/full_fast_consenuss/EX4M/HOLO/pH7_0/gnina_stage2/decoys_final_00016_gnina_stage2.sdf,ZINC08994462,0.0,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,29.0,0.9544255256565102,1.056040065454001,0.0,0.0,41.0,1.0546091666807298,0.0,281.0,0.8781567702952586,0.0,29.0,41.0,281.0,3.0,3.0,0.00233365698061,0.0,0.0,,0.0,0.0,,9.0,123.12056676996066,63.59883146739028,1.9358935365516836,2.554302253062458,0,28,2188.0,O,O,1.55,1.55,3.1,2.554302253062458,3.1,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,0.0159441953163926,,,
EX4M,APO,pH7_0,gnina,stage3,gnina_stage3,EX4M.sanitized_gnina_stage3.sdf,False,missing_receptor,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EX4M,APO,pH7_0,gnina,stage3,gnina_stage3,KEU_A510.sanitized_gnina_stage3.sdf,False,missing_receptor,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EX4M,APO,pH7_0,gnina,stage3,gnina_stage3,KEU_B610.sanitized_gnina_stage3.sdf,False,missing_receptor,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EX4M,APO,pH7_0,gnina,stage3,gnina_stage3,decoys_final_00016_gnina_stage3.sdf,False,missing_receptor,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EX4M,HOLO,pH7_0,gnina,stage3,gnina_stage3,EX4M.sanitized_gnina_stage3.sdf,False,,True,True,True,True,True,True,False,0.8871018885364859,/home/michael/atlas/code/protein_automation/post_docked/full_fast_consenuss/EX4M/HOLO/pH7_0/gnina_stage3/EX4M.sanitized_gnina_stage3.sdf,/home/michael/atlas/code/protein_automation/docked/full_fast_consenuss/EX4M/HOLO/pH7_0/gnina_stage3/EX4M.sanitized_gnina_stage3.pdbqt,0.0,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,39.0,0.8419966240614658,1.138591471602518,0.0,0.0,57.0,1.1310807172378037,0.0,607.0,0.9771631239267856,0.0,39.0,57.0,607.0,1.0,1.0,0.0075211528912184,1.0,0.0,0.0132920484956192,1.0,1.0,0.0068755358151966,4.0,669.1641972726114,69.23798291433232,9.664698032878336,2.794370948889931,0,34,1642.0,O,N,1.55,1.6,3.1500000000000004,2.794370948889931,3.1500000000000004,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,0.0118053235326873,,,
EX4M,HOLO,pH7_0,gnina,stage3,gnina_stage3,KEU_A510.sanitized_gnina_stage3.sdf,False,,True,True,True,True,True,True,False,0.8859065615955534,/home/michael/atlas/code/protein_automation/post_docked/full_fast_consenuss/EX4M/HOLO/pH7_0/gnina_stage3/KEU_A510.sanitized_gnina_stage3.sdf,/home/michael/atlas/code/protein_automation/docked/full_fast_consenuss/EX4M/HOLO/pH7_0/gnina_stage3/KEU_A510.sanitized_gnina_stage3.pdbqt,0.0,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,39.0,0.8419032824225569,1.1385921400772234,0.0,0.0,57.0,1.131192168330615,0.0,607.0,0.9769447218028258,0.0,39.0,57.0,607.0,1.0,1.0,0.0078781731796596,1.0,0.0,0.0132841979592565,1.0,1.0,0.0074075619903228,4.0,649.0851328959354,69.23798291433232,9.37469732038618,2.790605669025993,0,13,2133.0,N,O,1.6,1.55,3.1500000000000004,2.7906056690259935,3.1500000000000004,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,0.0116770462633451,,,
