category,gene,pdb_id,rank_score,resolution,method,forced_included,valid_entry,nontrivial_comp_ids
DEFAULT,DRD1,9LLG,53.840,2.770,ELECTRON MICROSCOPY,false,true,CLR;A1EKL;PLM
DEFAULT,SLC6A3,8VBY,52.480,3.190,ELECTRON MICROSCOPY,false,true,42L;A1AAF;Y01;D10;LNK;HP6;D12;MYS;OCT
DEFAULT,ADRB2,9I52,49.600,2.800,ELECTRON MICROSCOPY,false,true,A1IZU
DEFAULT,AVPR1A,9UWI,49.600,2.800,ELECTRON MICROSCOPY,false,true,CLR
DEFAULT,ADORA3,9EHS,46.400,3.200,ELECTRON MICROSCOPY,false,true,A1BII
DEFAULT,SCN5A,4DJC,39.200,1.350,X-RAY DIFFRACTION,false,true,
DEFAULT,CACNA1C,2F3Y,38.400,1.450,X-RAY DIFFRACTION,false,true,
DEFAULT,GABBR1,4MQE,31.200,2.350,X-RAY DIFFRACTION,false,true,
DEFAULT,ACHE,1B41,27.920,2.760,X-RAY DIFFRACTION,false,true,
DEFAULT,GCGR,4ERS,27.404,2.637,X-RAY DIFFRACTION,false,true,
DEFAULT,SLC6A2,8HFE,15.000,2.500,ELECTRON MICROSCOPY,false,true,
DEFAULT,OPRM1,9WST,11.600,2.800,ELECTRON MICROSCOPY,false,true,
DEFAULT,TACR2,7XWO,11.400,2.700,ELECTRON MICROSCOPY,false,true,
DEFAULT,HTR3A,8AXD,11.160,2.980,ELECTRON MICROSCOPY,false,true,
DEFAULT,MC3R,8KIG,10.200,3.100,ELECTRON MICROSCOPY,false,true,
DEFAULT,BDKRB1,7EIB,10.000,3.000,ELECTRON MICROSCOPY,false,true,
DEFAULT,BDKRB2,7F2O,9.800,2.900,ELECTRON MICROSCOPY,false,true,
DEFAULT,EDNRA,8HCQ,8.920,3.010,ELECTRON MICROSCOPY,false,true,
DEFAULT,CCKBR,1L4T,-10.000,,SOLUTION NMR,false,true,
DEFAULT,KCNH2,1UJL,-10.000,,SOLUTION NMR,false,true,
DEFAULT,CRHR1,2L27,-10.000,,SOLUTION NMR,false,true,
DEFAULT,CHRNA4,2LLY,-10.000,,SOLUTION NMR,false,true,
