gene,pdb_id,rank_score,resolution,method,nontrivial_comp_ids,filtered_nontrivial_comp_ids,score_stats_selected,candidates_before_filters
ADORA1,5UEN,63.4,3.2,X-RAY DIFFRACTION,DU1;OLA,DU1;OLA,2,2
ADORA2A,3PWH,60.632,3.296,X-RAY DIFFRACTION,ZMA,ZMA,2,4
ADORA3,9EHS,46.4,3.2,ELECTRON MICROSCOPY,A1BII,A1BII,2,2
ADRA1A,8THK,50.2,2.6,ELECTRON MICROSCOPY,CGZ,CGZ,2,4
ADRA2A,9CBL,49.6,2.8,ELECTRON MICROSCOPY,ALE,ALE,2,4
ADRA2B,6K41,47.8,2.9,ELECTRON MICROSCOPY,CZX,CZX,1,1
ADRB1,7BTS,67.96,3.13,X-RAY DIFFRACTION,ALE;EPE;CLR;1WV,ALE;EPE;CLR;1WV,2,2
ADRB2,4GBR,57.0,3.993,X-RAY DIFFRACTION,CAU,CAU,9,14
ADRB3,9IJD,47.92,2.76,ELECTRON MICROSCOPY,CAU,CAU,1,1
AGTR1,6DO1,62.292,2.901,X-RAY DIFFRACTION,OLC,OLC,1,2
AGTR2,5UNF,64.6,2.8,X-RAY DIFFRACTION,8ES,8ES,1,2
AR,1XOW,72.6,1.8,X-RAY DIFFRACTION,R18,R18,4,4
AVPR1A,9UWI,49.6,2.8,ELECTRON MICROSCOPY,CLR,CLR,1,2
AVPR2,4JQI,63.2,2.6,X-RAY DIFFRACTION,PRO,PRO,6,12
CACNA1B,7MIX,54.0,3.0,ELECTRON MICROSCOPY,Y01;CLR;3PE;PT5,Y01;CLR;3PE;PT5,1,1
CCKAR,7F8U,64.6,2.8,X-RAY DIFFRACTION,1OE,1OE,1,2
CHRM1,6ZFZ,75.64,2.17,X-RAY DIFFRACTION,QJT;OLA;OLC;EPE,QJT;OLA;OLC;EPE,4,4
CHRM2,5YC8,69.0,2.5,X-RAY DIFFRACTION,3C0;HG,3C0;HG,3,5
CHRM3,8E9W,49.48,2.69,ELECTRON MICROSCOPY,WEC,WEC,1,2
CHRM4,9N09,50.44,2.57,ELECTRON MICROSCOPY,5XI,5XI,6,12
CHRM5,6OL9,72.672,2.541,X-RAY DIFFRACTION,OLA;0HK;P33;OLC,OLA;0HK;P33;OLC,2,2
CHRNA4,5KXI,57.0,3.941,X-RAY DIFFRACTION,NCT,NCT,2,3
CNR1,5TGZ,70.6,2.8,X-RAY DIFFRACTION,ZDG;FMN;OLC;OLA,ZDG;FMN;OLC;OLA,4,7
CRHR2,6PB1,49.6,2.8,ELECTRON MICROSCOPY,CLR;PLM,CLR;PLM,1,1
DRD1,7JOZ,58.0,3.8,X-RAY DIFFRACTION,VFP;1PE,VFP;1PE,3,3
DRD2,6CM4,66.064,2.867,X-RAY DIFFRACTION,8NU;OLA,8NU;OLA,4,4
DRD3,7CMU,47.0,3.0,ELECTRON MICROSCOPY,G6L,G6L,2,3
DRD4,5WIU,73.304,1.962,X-RAY DIFFRACTION,AQD;OLA,AQD;OLA,1,1
DRD5,8IRV,51.2,3.1,ELECTRON MICROSCOPY,R5F;CLR;PLM,R5F;CLR;PLM,1,1
EDNRA,8XVJ,45.92,3.26,ELECTRON MICROSCOPY,A1D5I,A1D5I,1,3
EDNRB,5GLI,69.0,2.5,X-RAY DIFFRACTION,OLC;OLA,OLC;OLA,1,5
EGFR,1MOX,69.0,2.5,X-RAY DIFFRACTION,PT;CD,PT;CD,1,7
ERBB2,3PP0,67.5,2.25,X-RAY DIFFRACTION,03Q,03Q,1,5
ESR1,7NDO,74.2,1.6,X-RAY DIFFRACTION,RAL,RAL,4,6
ESR2,1U3Q,66.3,2.4,X-RAY DIFFRACTION,272,272,1,1
F2,1T4U,71.0,2.0,X-RAY DIFFRACTION,81A,81A,2,3
GABRA1,6CDU,57.9,3.45,X-RAY DIFFRACTION,EY4,EY4,3,3
GHSR,7F83,65.48,2.94,X-RAY DIFFRACTION,OLC;1KQ,OLC;1KQ,3,3
GIPR,2QKH,71.8,1.9,X-RAY DIFFRACTION,TAR,TAR,1,1
GRIN1,5H8F,72.52,1.81,X-RAY DIFFRACTION,GLU,GLU,1,3
HCAR2,7ZL9,69.4,2.7,X-RAY DIFFRACTION,OLA;OLC;UNX,OLA;OLC;UNX,3,3
HRH1,9LRB,48.84,2.77,ELECTRON MICROSCOPY,HSM,HSM,2,4
HRH2,8YN3,52.52,2.56,ELECTRON MICROSCOPY,HSM;CLR,HSM;CLR,3,3
HRH3,7F61,68.2,2.6,X-RAY DIFFRACTION,1IB;CLR,1IB;CLR,1,1
HTR1A,7E2X,52.0,3.0,ELECTRON MICROSCOPY,J40;CLR;PLM,J40;CLR;PLM,1,1
HTR2A,6A93,67.5,3.0,X-RAY DIFFRACTION,8NU;CLR;1PE;PLM,8NU;CLR;1PE;PLM,4,4
HTR2B,4IB4,71.4,2.7,X-RAY DIFFRACTION,ERM;PLM;CLR;OLC;OLB;OLA,ERM;PLM;CLR;OLC;OLB;OLA,4,4
HTR2C,6BQG,65.0,3.0,X-RAY DIFFRACTION,ERM;OLC,ERM;OLC,2,2
HTR5A,7UM4,66.6,2.8,X-RAY DIFFRACTION,1PE;NN6,1PE;NN6,2,2
HTR6,7YS6,47.0,3.0,ELECTRON MICROSCOPY,SRO,SRO,2,2
HTR7,7XTC,47.4,3.2,ELECTRON MICROSCOPY,8K3;CLR,8K3;CLR,1,1
KDR,1YWN,73.32,1.71,X-RAY DIFFRACTION,LIF,LIF,2,2
MC4R,6W25,65.0,2.75,X-RAY DIFFRACTION,OLA,OLA,1,3
MLNR,8IBU,42.92,3.51,ELECTRON MICROSCOPY,ERY,ERY,1,1
NPY1R,5ZBQ,65.4,2.7,X-RAY DIFFRACTION,9AO,9AO,2,2
NPY2R,7DDZ,66.6,2.8,X-RAY DIFFRACTION,H46;FMN,H46;FMN,1,2
NR1H2,3KFC,66.3,2.4,X-RAY DIFFRACTION,61X,61X,1,1
NR1H3,3IPQ,71.0,2.0,X-RAY DIFFRACTION,965,965,1,1
NR1H4,1OSH,72.6,1.8,X-RAY DIFFRACTION,FEX,FEX,1,2
NR1I2,1SKX,64.6,2.8,X-RAY DIFFRACTION,RFP,RFP,1,1
NR1I3,1XVP,62.2,2.6,X-RAY DIFFRACTION,F15;CID,F15;CID,1,1
NR3C1,3BQD,67.0,2.5,X-RAY DIFFRACTION,DAY,DAY,3,3
NTSR1,7UL2,52.8,2.4,ELECTRON MICROSCOPY,Q6Q,Q6Q,1,2
OPRD1,8F7S,49.0,3.0,ELECTRON MICROSCOPY,CLR;PLM,CLR;PLM,1,2
OPRK1,6B73,64.7,3.1,X-RAY DIFFRACTION,CVV;CLR;OLA,CVV;CLR;OLA,5,8
OPRM1,8EF5,46.6,3.3,ELECTRON MICROSCOPY,7V7;CLR,7V7;CLR,1,3
PDE3A,7KWE,69.5,2.0,X-RAY DIFFRACTION,X5M,X5M,2,2
PDE4A,2QYK,68.7,2.1,X-RAY DIFFRACTION,NPV,NPV,1,2
PDE4D,1Q9M,68.6,2.3,X-RAY DIFFRACTION,ROL,ROL,1,1
PGR,3G8O,71.8,1.9,X-RAY DIFFRACTION,30X,30X,3,3
PPARA,2P54,72.68,1.79,X-RAY DIFFRACTION,735,735,1,1
PPARG,1KNU,67.0,2.5,X-RAY DIFFRACTION,YPA,YPA,1,1
PTGS1,6Y3C,60.112,3.361,X-RAY DIFFRACTION,FLC,FLC,1,1
PTGS2,5F19,74.68,2.04,X-RAY DIFFRACTION,COH;AKR;BOG,COH;AKR;BOG,1,1
