gene,pdb_id,mode,method,install_status,nontrivial_comp_ids
ACHE,1B41,apo_fallback,X-RAY DIFFRACTION,apo_downloaded,
ADORA1,5UEN,holo_strict,X-RAY DIFFRACTION,holo_downloaded,DU1;OLA
ADORA3,9EHS,holo_strict,ELECTRON MICROSCOPY,failed_404,A1BII
ADRA1A,8THK,holo_strict,ELECTRON MICROSCOPY,holo_downloaded,CGZ
ADRA2A,9CBL,holo_strict,ELECTRON MICROSCOPY,holo_downloaded,ALE
ADRA2B,6K41,holo_strict,ELECTRON MICROSCOPY,holo_downloaded,CZX
ADRB1,7BTS,holo_strict,X-RAY DIFFRACTION,holo_downloaded,ALE;EPE;CLR;1WV
ADRB2,9I52,holo_strict,ELECTRON MICROSCOPY,failed_404,A1IZU
ADRB3,9IJD,holo_strict,ELECTRON MICROSCOPY,holo_downloaded,CAU
AGTR1,6DO1,holo_strict,X-RAY DIFFRACTION,holo_downloaded,OLC
AGTR2,5UNF,holo_strict,X-RAY DIFFRACTION,holo_downloaded,8ES
AR,1XOW,holo_strict,X-RAY DIFFRACTION,holo_downloaded,R18
AVPR1A,9UWI,holo_strict,ELECTRON MICROSCOPY,failed_404,CLR
AVPR2,4JQI,holo_strict,X-RAY DIFFRACTION,holo_downloaded,PRO
BDKRB1,7EIB,apo_fallback,ELECTRON MICROSCOPY,apo_downloaded,
BDKRB2,7F2O,apo_fallback,ELECTRON MICROSCOPY,apo_downloaded,
CACNA1B,7MIX,holo_strict,ELECTRON MICROSCOPY,holo_downloaded,Y01;CLR;3PE;PT5
CACNA1C,2F3Y,apo_fallback,X-RAY DIFFRACTION,apo_downloaded,
CCKAR,7F8U,holo_strict,X-RAY DIFFRACTION,holo_downloaded,1OE
CCKBR,1L4T,apo_fallback,SOLUTION NMR,apo_downloaded,
CHRM1,6ZFZ,holo_strict,X-RAY DIFFRACTION,holo_downloaded,QJT;OLA;OLC;EPE
CHRM2,5YC8,holo_strict,X-RAY DIFFRACTION,holo_downloaded,3C0;HG
CHRM3,8E9W,holo_strict,ELECTRON MICROSCOPY,holo_downloaded,WEC
CHRM4,9N09,holo_strict,ELECTRON MICROSCOPY,holo_downloaded,5XI
CHRM5,6OL9,holo_strict,X-RAY DIFFRACTION,holo_downloaded,OLA;0HK;P33;OLC
CHRNA4,2LLY,apo_fallback,SOLUTION NMR,apo_downloaded,
CNR1,5TGZ,holo_strict,X-RAY DIFFRACTION,holo_downloaded,ZDG;FMN;OLC;OLA
CRHR1,2L27,apo_fallback,SOLUTION NMR,apo_downloaded,
CRHR2,6PB1,holo_strict,ELECTRON MICROSCOPY,holo_downloaded,CLR;PLM
DRD1,9LLG,holo_strict,ELECTRON MICROSCOPY,failed_404,CLR;A1EKL;PLM
DRD2,6CM4,holo_strict,X-RAY DIFFRACTION,holo_downloaded,8NU;OLA
DRD3,7CMU,holo_strict,ELECTRON MICROSCOPY,holo_downloaded,G6L
DRD4,5WIU,holo_strict,X-RAY DIFFRACTION,holo_downloaded,AQD;OLA
DRD5,8IRV,holo_strict,ELECTRON MICROSCOPY,holo_downloaded,R5F;CLR;PLM
EDNRA,8HCQ,apo_fallback,ELECTRON MICROSCOPY,apo_downloaded,
EDNRB,5GLI,holo_strict,X-RAY DIFFRACTION,holo_downloaded,OLC;OLA
EGFR,1MOX,holo_strict,X-RAY DIFFRACTION,holo_downloaded,PT;CD
ERBB2,3PP0,holo_strict,X-RAY DIFFRACTION,holo_downloaded,03Q
ESR1,7NDO,holo_strict,X-RAY DIFFRACTION,holo_downloaded,RAL
ESR2,1U3Q,holo_strict,X-RAY DIFFRACTION,holo_downloaded,272
F2,1T4U,holo_strict,X-RAY DIFFRACTION,holo_downloaded,81A
GABBR1,4MQE,apo_fallback,X-RAY DIFFRACTION,apo_downloaded,
GABRA1,6HUJ,holo_strict,ELECTRON MICROSCOPY,holo_downloaded,PIO;RI5;ABU
GCGR,4ERS,apo_fallback,X-RAY DIFFRACTION,apo_downloaded,
