gene,pdb_id,nontrivial_comp_ids,status
ADORA1,5UEN,DU1;OLA,strict_holo_downloaded
ADORA3,9EHS,A1BII,strict_holo_downloaded
ADRA1A,8THK,CGZ,strict_holo_downloaded
ADRA2A,9CBL,ALE,strict_holo_downloaded
ADRA2B,6K41,CZX,strict_holo_downloaded
ADRB1,7BTS,ALE;EPE;CLR;1WV,strict_holo_downloaded
ADRB2,9I52,A1IZU,strict_holo_downloaded
ADRB3,9IJD,CAU,strict_holo_downloaded
AGTR1,6DO1,OLC,strict_holo_downloaded
AGTR2,5UNF,8ES,strict_holo_downloaded
AR,1XOW,R18,strict_holo_downloaded
AVPR1A,9UWI,CLR,strict_holo_downloaded
AVPR2,4JQI,PRO,strict_holo_downloaded
CACNA1B,7MIX,Y01;CLR;3PE;PT5,strict_holo_downloaded
CCKAR,7F8U,1OE,strict_holo_downloaded
CHRM1,6ZFZ,QJT;OLA;OLC;EPE,strict_holo_downloaded
CHRM2,5YC8,3C0;HG,strict_holo_downloaded
CHRM3,8E9W,WEC,strict_holo_downloaded
CHRM4,9N09,5XI,strict_holo_downloaded
CHRM5,6OL9,OLA;0HK;P33;OLC,strict_holo_downloaded
CNR1,5TGZ,ZDG;FMN;OLC;OLA,strict_holo_downloaded
CRHR2,6PB1,CLR;PLM,strict_holo_downloaded
DRD1,9LLG,CLR;A1EKL;PLM,strict_holo_downloaded
DRD2,6CM4,8NU;OLA,strict_holo_downloaded
DRD3,7CMU,G6L,strict_holo_downloaded
DRD4,5WIU,AQD;OLA,strict_holo_downloaded
DRD5,8IRV,R5F;CLR;PLM,strict_holo_downloaded
EDNRB,5GLI,OLC;OLA,strict_holo_downloaded
EGFR,1MOX,PT;CD,strict_holo_downloaded
ERBB2,3PP0,03Q,strict_holo_downloaded
ESR1,3CBP,SFG,strict_holo_downloaded
ESR2,1U3Q,272,strict_holo_downloaded
F2,1T4U,81A,strict_holo_downloaded
GABRA1,6HUJ,PIO;RI5;ABU,strict_holo_downloaded
GHSR,7F83,OLC;1KQ,strict_holo_downloaded
GIPR,2QKH,TAR,strict_holo_downloaded
GRIN1,5H8F,GLU;GLY,strict_holo_downloaded
HCAR2,7ZL9,OLA;OLC;UNX,strict_holo_downloaded
HRH1,9LRB,HSM,strict_holo_downloaded
HRH2,8YN3,HSM;CLR,strict_holo_downloaded
HRH3,7F61,1IB;CLR,strict_holo_downloaded
HTR1A,7E2X,J40;CLR;PLM,strict_holo_downloaded
HTR2A,6A93,8NU;CLR;1PE;PLM,strict_holo_downloaded
HTR2B,4IB4,ERM;PLM;CLR;OLC;OLB;OLA,strict_holo_downloaded
HTR2C,6BQG,ERM;OLC,strict_holo_downloaded
HTR5A,7UM4,1PE;NN6,strict_holo_downloaded
HTR6,7YS6,SRO,strict_holo_downloaded
HTR7,7XTC,8K3;CLR,strict_holo_downloaded
KDR,1YWN,LIF,strict_holo_downloaded
MC4R,6W25,OLA,strict_holo_downloaded
NPY1R,5ZBQ,9AO,strict_holo_downloaded
NPY2R,7DDZ,H46;FMN,strict_holo_downloaded
NR1H2,3KFC,61X,strict_holo_downloaded
NR1H3,3IPQ,965,strict_holo_downloaded
NR1H4,1OSH,FEX,strict_holo_downloaded
NR1I2,1SKX,RFP,strict_holo_downloaded
NR1I3,1XVP,F15;CID,strict_holo_downloaded
NR3C1,3BQD,DAY,strict_holo_downloaded
NTSR1,7UL2,Q6Q,strict_holo_downloaded
OPRD1,8F7S,CLR;PLM,strict_holo_downloaded
OPRK1,6B73,CVV;CLR;OLA,strict_holo_downloaded
PDE3A,7KWE,X5M,strict_holo_downloaded
PDE4A,2QYK,NPV,strict_holo_downloaded
PDE4D,1Q9M,ROL,strict_holo_downloaded
PGR,3G8O,30X,strict_holo_downloaded
PPARA,2P54,735,strict_holo_downloaded
PPARG,1KNU,YPA,strict_holo_downloaded
PTGS2,5F19,COH;AKR;BOG,strict_holo_downloaded
RARA,3A9E,754;REA,strict_holo_downloaded
RARB,4DM6,TTB,strict_holo_downloaded
RARG,5M24,9CR;LMU,strict_holo_downloaded
SLC18A2,8JSW,SRO,strict_holo_downloaded
SLC6A3,8VBY,42L;A1AAF;Y01;D10;LNK;HP6;D12;MYS;OCT,strict_holo_downloaded
SLC6A4,5I6X,CLR;LMT;8PR,strict_holo_downloaded
TACR1,6J20,GBQ,strict_holo_downloaded
TBXA2R,6IIU,A8X;CLR;OLC,strict_holo_downloaded
