gene,pdb_id,resolution,method,nonpolymer_comp_ids,nontrivial_comp_ids,rank_score,rank_reason,forced_included,valid_entry
EGFR,5UG9,1.330,X-RAY DIFFRACTION,8AM;SO4;GOL;EDO,8AM,76.360,"{""assembly_count"": 1, ""co_crystallized_ligand"": true, ""ligand_component"": 17.0, ""method"": ""X-RAY DIFFRACTION"", ""method_component"": 40.0, ""nonprotein_penalty"": 0.0, ""nonprotein_polymer_count"": 0, ""nontrivial_ligand_count"": 1, ""polymer_entity_count"": 1, ""resolution"": 1.33, ""resolution_component"": 19.36, ""score"": 76.36, ""size_penalty"": 0.0}",false,true
ABL1,7PVS,1.050,X-RAY DIFFRACTION,PGE;NA;SO4;PEG;P6G,P6G,77.100,"{""assembly_count"": 2, ""co_crystallized_ligand"": true, ""ligand_component"": 17.0, ""method"": ""X-RAY DIFFRACTION"", ""method_component"": 40.0, ""nonprotein_penalty"": 0.0, ""nonprotein_polymer_count"": 0, ""nontrivial_ligand_count"": 1, ""polymer_entity_count"": 1, ""resolution"": 1.05, ""resolution_component"": 21.6, ""score"": 77.1, ""size_penalty"": 1.5}",false,true
SRC,1O43,1.500,X-RAY DIFFRACTION,821,821,75.000,"{""assembly_count"": 1, ""co_crystallized_ligand"": true, ""ligand_component"": 17.0, ""method"": ""X-RAY DIFFRACTION"", ""method_component"": 40.0, ""nonprotein_penalty"": 0.0, ""nonprotein_polymer_count"": 0, ""nontrivial_ligand_count"": 1, ""polymer_entity_count"": 1, ""resolution"": 1.5, ""resolution_component"": 18.0, ""score"": 75.0, ""size_penalty"": 0.0}",false,true
MAPK1,8AOJ,1.120,X-RAY DIFFRACTION,SO4;EDO;DMS;N8L,N8L,78.040,"{""assembly_count"": 1, ""co_crystallized_ligand"": true, ""ligand_component"": 17.0, ""method"": ""X-RAY DIFFRACTION"", ""method_component"": 40.0, ""nonprotein_penalty"": 0.0, ""nonprotein_polymer_count"": 0, ""nontrivial_ligand_count"": 1, ""polymer_entity_count"": 1, ""resolution"": 1.12, ""resolution_component"": 21.04, ""score"": 78.04, ""size_penalty"": 0.0}",false,true
MAPK14,3LFF,1.500,X-RAY DIFFRACTION,BOG;Z83,BOG;Z83,77.000,"{""assembly_count"": 1, ""co_crystallized_ligand"": true, ""ligand_component"": 19.0, ""method"": ""X-RAY DIFFRACTION"", ""method_component"": 40.0, ""nonprotein_penalty"": 0.0, ""nonprotein_polymer_count"": 0, ""nontrivial_ligand_count"": 2, ""polymer_entity_count"": 1, ""resolution"": 1.5, ""resolution_component"": 18.0, ""score"": 77.0, ""size_penalty"": 0.0}",false,true
CDK2,4EK4,1.260,X-RAY DIFFRACTION,1CK;NA,1CK,76.920,"{""assembly_count"": 1, ""co_crystallized_ligand"": true, ""ligand_component"": 17.0, ""method"": ""X-RAY DIFFRACTION"", ""method_component"": 40.0, ""nonprotein_penalty"": 0.0, ""nonprotein_polymer_count"": 0, ""nontrivial_ligand_count"": 1, ""polymer_entity_count"": 1, ""resolution"": 1.26, ""resolution_component"": 19.92, ""score"": 76.92, ""size_penalty"": 0.0}",false,true
JAK2,8BXH,1.300,X-RAY DIFFRACTION,C87;MLI,C87;MLI,78.600,"{""assembly_count"": 1, ""co_crystallized_ligand"": true, ""ligand_component"": 19.0, ""method"": ""X-RAY DIFFRACTION"", ""method_component"": 40.0, ""nonprotein_penalty"": 0.0, ""nonprotein_polymer_count"": 0, ""nontrivial_ligand_count"": 2, ""polymer_entity_count"": 1, ""resolution"": 1.3, ""resolution_component"": 19.6, ""score"": 78.6, ""size_penalty"": 0.0}",false,true
PTGS2,5F19,2.040,X-RAY DIFFRACTION,COH;NAG;AKR;EDO;BOG,COH;NAG;AKR;BOG,76.680,"{""assembly_count"": 1, ""co_crystallized_ligand"": true, ""ligand_component"": 23.0, ""method"": ""X-RAY DIFFRACTION"", ""method_component"": 40.0, ""nonprotein_penalty"": 0.0, ""nonprotein_polymer_count"": 0, ""nontrivial_ligand_count"": 4, ""polymer_entity_count"": 1, ""resolution"": 2.04, ""resolution_component"": 13.68, ""score"": 76.68, ""size_penalty"": 0.0}",false,true
HTR2A,7WC8,2.450,X-RAY DIFFRACTION,MG;CLR;1PE;OLC;92S;PEG,CLR;1PE;OLC;92S,73.400,"{""assembly_count"": 1, ""co_crystallized_ligand"": true, ""ligand_component"": 23.0, ""method"": ""X-RAY DIFFRACTION"", ""method_component"": 40.0, ""nonprotein_penalty"": 0.0, ""nonprotein_polymer_count"": 0, ""nontrivial_ligand_count"": 4, ""polymer_entity_count"": 1, ""resolution"": 2.45, ""resolution_component"": 10.4, ""score"": 73.4, ""size_penalty"": 0.0}",false,true
HTR2B,4IB4,2.700,X-RAY DIFFRACTION,ERM;PLM;CLR;OLC;OLB;OLA;PEG,ERM;PLM;CLR;OLC;OLB;OLA,71.400,"{""assembly_count"": 1, ""co_crystallized_ligand"": true, ""ligand_component"": 23.0, ""method"": ""X-RAY DIFFRACTION"", ""method_component"": 40.0, ""nonprotein_penalty"": 0.0, ""nonprotein_polymer_count"": 0, ""nontrivial_ligand_count"": 6, ""polymer_entity_count"": 1, ""resolution"": 2.7, ""resolution_component"": 8.4, ""score"": 71.4, ""size_penalty"": 0.0}",false,true
